date,real_dollar
2012-01-31,-0.0068866649836545335
2012-02-29,-0.017792936855149044
2012-03-31,0.005536979683048671
2012-04-30,0.0025715727360946516
2012-05-31,0.0157895343379586
2012-06-30,0.013697389006305016
2012-07-31,-0.006216380161675694
2012-08-31,-0.007252537251390301
2012-09-30,-0.0148148183628809
2012-10-31,-0.0015639709843879857
2012-11-30,0.004627942242409588
2012-12-31,-0.008784619605023636
2013-01-31,-0.0009652124044938759
2013-02-28,0.010047784354075162
2013-03-31,0.0055147530824841695
2013-04-30,-0.008461923982515884
2013-05-31,0.004512510554779858
2013-06-30,0.008100949684094694
2013-07-31,0.0061934937241421295
2013-08-31,-0.0009983397158306317
2013-09-30,-0.005038109672129032
2013-10-31,-0.011296967798101853
2013-11-30,0.008502383515593515
2013-12-31,0.0019922776360390415
2014-01-31,0.010111221516306834
2014-02-28,0.0011073171240107982
2014-03-31,-0.0017676260258214782
2014-04-30,-0.00588418059210305
2014-05-31,-0.0035667320223931043
2014-06-30,0.0011443535820072626
2014-07-31,-0.0027385326395332754
2014-08-31,0.009123938478618143
2014-09-30,0.014637938758750302
2014-10-31,0.01209618681034641
2014-11-30,0.014487630382855166
2014-12-31,0.019792606644623234
2015-01-31,0.018086541986169102
2015-02-28,0.014024600791826991
2015-03-31,0.01977362781519254
2015-04-30,-0.009121609549536558
2015-05-31,-0.008095291427918205
2015-06-30,0.007994855233441456
2015-07-31,0.018081691806871802
2015-08-31,0.016008905889491665
2015-09-30,0.0057496845562665655
2015-10-31,-0.009273879579828836
2015-11-30,0.016397555988571177
2015-12-31,0.007614589217660672
2016-01-31,0.021498070571222883
2016-02-29,-0.012403647510129012
2016-03-31,-0.020431383856514884
2016-04-30,-0.014348268530347319
2016-05-31,0.010374446350112976
2016-06-30,0.004341202646265252
2016-07-31,0.006469505772832562
2016-08-31,-0.007867618212310745
2016-09-30,0.008457851304656039
2016-10-31,0.010147385336855663
2016-11-30,0.022598300670191307
2016-12-31,0.015733760089424287
2017-01-31,-0.0014400305422794801
2017-02-28,-0.013822585712076396
2017-03-31,-0.005935972476630802
2017-04-30,-0.00936530376047262
2017-05-31,-0.005974940407994289
2017-06-30,-0.013377646277266564
2017-07-31,-0.016627424817197145
2017-08-31,-0.009323881070588236
2017-09-30,-0.00628135781662742
2017-10-31,0.017637970142549086
2017-11-30,0.0015404895287343123
2017-12-31,-0.0030367145348000335
2018-01-31,-0.021139023274046487
2018-02-28,-0.005756751996110587
2018-03-31,0.002146731298077853
2018-04-30,0.0012591708357545528
2018-05-31,0.02919669998003016
2018-06-30,0.014847038986220973
2018-07-31,-0.00014089159652552752
2018-08-31,0.005498105753139804
2018-09-30,0.0020061857006394845
2018-10-31,0.0067860140965070315
2018-11-30,0.010822531596523355
2018-12-31,0.0004251290302770272
2019-01-31,-0.016112609588980753
2019-02-28,0.000988829326539431
2019-03-31,0.003932429799546
2019-04-30,0.0010824156369384497
2019-05-31,0.007119921121333306
2019-06-30,-0.005815826059865081
2019-07-31,-0.002280468498203625
2019-08-31,0.01681154431714038
2019-09-30,0.0016401963245673556
2019-10-31,-0.004852771372736875
2019-11-30,-0.0016027485467207114
2019-12-31,-0.006093457154896065
2020-01-31,-0.004875768515928414
2020-02-29,0.011089752726513247
2020-03-31,0.0355695443446411
2020-04-30,0.014259243417932943
2020-05-31,-0.0059376598149656346
2020-06-30,-0.02333460003790666
2020-07-31,-0.005796631896405557
2020-08-31,-0.011976058975551318
2020-09-30,-0.0033838347373613686
2020-10-31,-0.005040445748440092
2020-11-30,-0.012696402963568332
2020-12-31,-0.018569711056797722
2021-01-31,-0.006895746940281278
2021-02-28,0.006411779203689072
2021-03-31,0.01379181921241912
2021-04-30,-0.0017889678781042306
2021-05-31,-0.009171646239437337
2021-06-30,0.009092717351946611
2021-07-31,0.014159346428415986
2021-08-31,0.0028565870452812447
2021-09-30,0.001577873113825845
2021-10-31,0.00859567127807992
2021-11-30,0.010008780962005304
