Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop
1996-07-31,2.608569979937427,-0.8088669356527773,-0.1,4.2981224,0.005094528,-1.5735626e-05
1996-08-31,2.636873922634315,-0.8088669356527773,-0.1,4.30124,0.0011930466,0.005094528
1996-09-30,2.722112768870702,-0.8088669356527773,0.0,4.305388,-0.005522251,0.0011930466
1996-10-31,2.7561779341252,-0.8088669356527773,0.0,4.310387,0.0074191093,-0.005522251
1996-11-30,2.704051458533042,-0.48121182505959725,0.4,4.313238,0.0056996346,0.0074191093
1996-12-31,2.7699926463609374,-0.2956730475634159,-0.2,4.3177752,0.006966591,0.0056996346
1997-01-31,2.759406228779201,-0.2956730475634159,-0.2,4.323128,0.008775234,0.006966591
1997-02-28,2.632415768673461,-0.09983407889920051,0.2,4.3263674,-0.00094747543,0.008775234
1997-03-31,2.5752932864884586,0.19869011034924833,0.1,4.3319535,0.0055060387,-0.00094747543
1997-04-30,2.5122549153226723,0.19869011034924833,-0.3,4.340009,-0.00019645691,0.0055060387
1997-05-31,2.567015821421063,0.29567304756342927,0.1,4.345371,0.00792551,-0.00019645691
1997-06-30,2.482093708411386,0.29567304756342927,-0.1,4.3475804,-0.009963512,0.00792551
1997-07-31,2.504558498844047,0.29567304756342927,0.0,4.356525,-0.011869431,-0.009963512
1997-08-31,2.5172349634679287,0.4812118250596098,0.2,4.3601427,0.0068826675,-0.011869431
1997-09-30,2.507701115530038,0.6526665660823615,0.0,4.3645544,0.013448715,0.0068826675
1997-10-31,2.577492416239182,1.529660495090407,1.3,4.3695755,0.0054798126,0.013448715
1997-11-30,2.5236237713711507,1.4874828366412745,-1.6,4.376309,0.0077528954,0.0054798126
1997-12-31,2.426802540609684,1.529660495090407,0.2,4.374808,-0.002202034,0.0077528954
1998-01-31,2.3335811933630097,1.529660495090407,-0.1,4.374168,-0.0027947426,-0.002202034
1998-02-28,2.293905559274323,1.529660495090407,0.0,4.37204,0.018118858,-0.0027947426
1998-03-31,2.2269564970916957,1.570278543484981,0.1,4.37987,0.005493641,0.018118858
1998-04-30,2.2533015889034087,1.570278543484981,-0.1,4.3767595,-0.0017495155,0.005493641
1998-05-31,2.2125500281639945,1.6472311463710985,0.2,4.3760138,-0.0019898415,-0.0017495155
1998-06-30,2.127119586562295,1.8496036794731807,0.4,4.378444,-0.0078930855,-0.0019898415
1998-07-31,2.154949094187981,1.8496036794731807,-0.6,4.3764286,-0.0041503906,-0.0078930855
1998-08-31,2.1012341716706886,1.879863584396912,0.1,4.375389,-0.0020608902,-0.0041503906
1998-09-30,2.2130684954874784,1.909274014016339,0.0,4.378804,-0.014672279,-0.0020608902
1998-10-31,2.172447221137584,1.879863584396912,-0.2,4.3811545,0.001229763,-0.014672279
1998-11-30,2.058037999233275,1.879863584396912,0.1,4.384109,0.0017414093,0.001229763
1998-12-31,1.9258989494359247,1.8496036794731807,-0.1,4.385734,0.012701988,0.0017414093
1999-01-31,2.024370308496442,1.71905185120893,-0.3,4.384539,-0.0026159286,0.012701988
1999-02-28,1.986784184896389,1.6837431439977468,0.3,4.3940253,0.0032148361,-0.0026159286
1999-03-31,2.185560264971225,1.3979983651114378,-0.6,4.388257,0.0048532486,0.0032148361
1999-04-30,2.3468009601440882,1.3979983651114378,0.7,4.3962774,-0.004823208,0.0048532486
1999-05-31,2.369567913552973,-0.2956730475634153,-2.2,4.3968825,-0.0217762,-0.004823208
1999-06-30,2.377424295152176,-0.2956730475634153,2.2,4.4061303,-0.0029492378,-0.0217762
1999-07-31,2.48820055903959,-0.1986901103492341,0.1,4.4067507,-0.016116142,-0.0029492378
1999-08-31,2.5434051233005452,-0.48121182505959653,-0.4,4.4136705,0.023226261,-0.016116142
1999-09-30,2.655438680479387,-0.2956730475634153,0.5,4.417982,-0.0017185211,0.023226261
1999-10-31,2.600329398908504,-0.39003531977070816,-0.3,4.424452,0.0006389618,-0.0017185211
1999-11-30,2.6965031884715467,7.549516567451036e-15,0.5,4.430224,0.007666588,0.0006389618
1999-12-31,2.737624340884687,7.549516567451036e-15,-0.4,4.4396253,-0.00027179718,0.007666588
2000-01-31,2.7759793055719992,0.19869011034924872,0.2,4.448897,-0.012270451,-0.00027179718
2000-02-29,2.848664295211935,0.09983407889921521,-0.3,4.4464464,0.015494823,-0.012270451
2000-03-31,2.861030605781278,0.09983407889921521,0.1,4.4500885,0.009224415,0.015494823
2000-04-30,2.7121377980345267,0.09983407889921521,0.0,4.455104,0.0004954338,0.009224415
2000-05-31,2.8220184237396713,0.09983407889921521,0.0,4.4649663,0.009771824,0.0004954338
2000-06-30,2.9169228352884624,0.19869011034924872,0.1,4.4699917,0.0076208115,0.009771824
2000-07-31,2.8471153758631433,0.19869011034924872,-0.1,4.470991,-0.0029597282,0.0076208115
2000-08-31,2.8946731159227443,0.19869011034924872,0.0,4.474602,0.009077072,-0.0029597282
2000-09-30,2.9712412535456956,0.29567304756342977,0.1,4.479441,0.012024403,0.009077072
2000-10-31,2.9456186347833446,0.29567304756342977,-0.1,4.477215,0.00024032593,0.012024403
2000-11-30,2.9830226859490416,0.39003531977072237,0.1,4.480524,0.0062713623,0.00024032593
2000-12-31,2.7911721352442957,0.39003531977072237,-0.1,4.4841566,0.007912636,0.0062713623
2001-01-31,2.824059962069729,0.19869011034924872,-0.2,4.487725,-0.017967701,0.007912636
2001-02-28,2.8227983330634396,-0.19869011034923395,-0.2,4.4741898,-0.0011949539,-0.017967701
2001-03-31,2.7388046517672424,-0.19869011034923395,0.4,4.4824734,-0.006942749,-0.0011949539
2001-04-30,2.743323952730095,-0.7326682560454049,-0.6,4.473131,0.009589195,-0.006942749
2001-05-31,2.782131315000374,-1.0159731341796872,0.2,4.468717,-0.013489246,0.009589195
2001-06-30,2.74288922355059,-1.0159731341796872,0.4,4.468513,-0.010138035,-0.013489246
2001-07-31,2.7020192744169207,-0.7326682560454051,0.4,4.466077,-0.02319765,-0.010138035
2001-08-31,2.739857616219795,-0.7326682560454051,-0.4,4.459097,0.028868675,-0.02319765
2001-09-30,2.6762954653251754,-0.48121182505959686,0.3,4.4645696,0.0025458336,0.028868675
2001-10-31,2.526178993336358,-0.3900353197707083,-0.2,4.457724,-0.0068597794,0.0025458336
2001-11-30,2.4052942094735887,-0.2956730475634154,-5.551115e-17,4.454439,-0.0015153885,-0.0068597794
2001-12-31,2.3884214093328517,7.327471962526006e-15,0.2,4.451744,0.0051584244,-0.0015153885
2002-01-31,2.4041680832284538,7.327471962526006e-15,-0.3,4.4525175,-0.0060048103,0.0051584244
2002-02-28,2.4554508384973874,0.19869011034924872,0.2,4.4630637,-0.01092577,-0.0060048103
2002-03-31,2.615984053450956,-0.2956730475634154,-0.7,4.4603567,0.0010647774,-0.01092577
2002-04-30,2.6845374090744527,-0.19869011034923423,0.6,4.470051,-0.003042698,0.0010647774
2002-05-31,2.711572310591811,-0.2956730475634154,-0.2,4.4770474,-0.008059502,-0.003042698
