Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,gscpi,brent,gold,bdi,cny_usd,dxy,em_fx,reer,indpro,gpr_chn_l1,gpr_usa_l1
2011-09-30,3.6317991754242147,1.3504407402749758,-0.3,4.775808,0.0057382584,4.7736454,0.0058932304,35.02913035517154,2.3,0.02,0.2686363636363636,3.25,3.25,-0.1,-0.0594731689540815,0.11192547131958186,-0.09142512211861309,-0.00908401882634835,0.012124058885851774,0.015320263357008201,0.005340127121336025,0.006728443816048646,0.29977142810821533,1.704949975013733
2011-10-31,3.6404255068461535,1.3504407402749758,0.3,4.7751913,-0.008859634,4.775808,0.0057382584,36.52999977838425,1.98,0.01,0.3376190476190476,3.3,3.3,-0.55,0.023441779511808036,0.00743670504644367,-0.06995624332946626,3.135828407740959e-05,0.05848051792824549,0.05944755933352219,0.026528082154533728,-0.0008274225944706615,0.28053978085517883,1.6370738744735718
2011-11-30,3.7563495389453276,1.3979983651114376,0.1,4.775327,0.0067982674,4.7751913,-0.008859634,32.82904770260765,2.15,0.02,0.388,3.02,3.02,-0.38,-0.029534957933480044,-0.06150424215099193,-0.032580293429775864,-0.0036598719844125327,-0.030845948272434143,-0.02774562912235279,0.006032643718535624,0.006916436587234287,0.3722563683986664,1.5346795320510864
2011-12-31,3.7700052275477294,1.3979983651114376,-0.1,4.771877,0.013243198,4.775327,0.0067982674,31.941904703776043,2.01,0.01,0.4605,3.24,3.24,0.14,0.011057717691737246,0.042626621689110245,0.02758267802610881,0.003424660881364172,0.025101205467894516,0.023154855325743462,0.003920132424331868,-8.659124192433865e-05,0.5906422138214111,1.7399039268493652
2012-01-31,3.7840850903009327,1.3979983651114376,0.0,4.774193,0.0049419403,4.771877,0.013243198,25.047619047619047,1.98,0.01,0.545,3.27,3.27,-0.04,-0.026507350147570108,-0.058632286386279375,-0.01482148800721994,-0.013038447116262342,0.010368827909451817,0.006941353255614402,0.003783029711500241,0.0052922619015616235,0.551498532295227,1.8332573175430298
2012-02-29,3.801803409599163,1.3979983651114376,0.0,4.7819295,0.002585411,4.774193,0.0049419403,20.227999877929687,1.97,0.03,0.531,3.24,3.24,0.38,0.025765930199859177,0.008548876904793445,0.047412555180848415,0.002237758732236639,-0.0204663390248907,-0.0309278827221231,-0.003416303957130218,0.005946556615738174,0.5609212517738342,1.7756315469741821
2012-03-31,3.837521274960608,1.3979983651114376,0.0,4.784034,0.0032291412,4.7819295,0.002585411,18.420499992370605,1.97,0.09,0.41150000000000003,3.1,3.1,0.01,0.07517025991298798,0.053424572580746954,0.08070561316956493,-0.0023013143513692658,-0.008930606629836468,-0.009856389392226106,-0.01626452807673484,0.003210503784291774,0.8188916444778442,1.9082080125808716
2012-04-30,3.8085596720050425,1.3504407402749758,-0.1,4.779044,-0.0025362968,4.784034,0.0032291412,16.16727287119085,2.17,0.08,0.3868181818181818,3.07,3.07,-0.37,0.05000341526064833,-0.040271229792087304,-0.0054796615923180525,0.0006353744952056761,0.007886483209097683,0.007707407230672203,0.009027452638345146,-0.0051911748236843636,0.6241809725761414,1.910476565361023
2012-05-31,3.7234162437410943,1.3008204268406505,0.0,4.772037,0.0041418076,4.779044,-0.0025362968,17.822999906539916,2.05,0.08,0.3857894736842105,3.2,3.2,-0.33,-0.049210391593126346,-0.016089846828712062,-0.016662144066716067,-0.0029419971126558586,-0.0010607076322992626,0.0045163333284552465,0.004054308643391735,0.007167758505782551,0.8006070852279663,1.9654715061187744
2012-06-30,3.585235737121928,1.3504407402749758,0.2,4.7780023,-0.009376049,4.772037,0.0041418076,21.001818136735395,1.8,0.09,0.38095238095238093,3.4,3.4,-0.67,-0.07909845519604097,-0.03716026154804464,-0.052174976055122,0.014137528507740305,0.0467226113351451,0.046908227573229766,0.01774259691863822,0.002306548336549419,0.4804913401603699,1.6257225275039673
