Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,tb3ms,baa10y,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,gdelt_total_events_log,gdelt_goldstein_mean,gdelt_sentiment_signal,gdelt_conflict_share,gdelt_hostility_share,gdelt_topic_pca_1,gdelt_topic_pca_2,gdelt_topic_pca_3,gdelt_topic_pca_4,gdelt_topic_pca_5,gpr,ea_gpr,wui
1998-09-30,2.2130684954874784,1.909274014016339,0.0,4.378804,-0.014672279,-0.0020608902,31.58809498378209,5.34,4.9,2.06,-0.0138010207146419,-0.0303673374381689,-0.117924058601913,0.0,0.0204919010582775,0.2639833390712738,2.2329885959625244,5.940171252720432,2.484168865435356,14.756388481362231,0.0184696569920844,0.050131926121372,2.384284410501174,-0.6192757519952751,1.6740998526765944,-1.3223921476089011,-0.265031311119457,75.5845893755589,1.4441406148388156,0.09724
1998-10-31,2.172447221137584,1.879863584396912,-0.2,4.3811545,0.001229763,-0.014672279,38.20476223173596,4.81,4.61,2.57,0.1133254151120506,0.016995994451153,0.0338234206005836,-0.003858215540816,-0.0005323279149607,0.1837109625339508,1.417198896408081,6.272877006546167,1.9209829867674857,12.050090007660142,0.0170132325141776,0.1172022684310018,1.506329865433346,0.9276911274942652,0.7009732049402174,-1.9120179950388407,-0.3101708941884316,61.37923034601872,1.004010160417756,0.09724
1998-11-30,2.058037999233275,1.879863584396912,0.1,4.384109,0.0017414093,0.001229763,36.608181953430176,4.53,3.96,2.65,-0.0492586619611548,0.0237654583047701,0.1836553274932715,-2.416071709143708e-05,0.0068129990948513,0.1529788374900818,1.226663589477539,6.182084906716632,2.780538302277433,17.189523871056807,0.0020703933747412,0.0434782608695652,3.3065296238823496,-0.2437477571079359,0.6335543667525462,0.0070896906479019,-0.0782432785212789,72.33920210489583,1.0173125676324009,0.1425
1998-12-31,1.9258989494359249,1.8496036794731807,-0.1,4.385734,0.012701988,0.0017414093,26.223000144958498,4.83,4.41,2.45,-0.1403421616202154,-0.0061350925422143,0.113329692153318,4.832085045647361e-05,-0.0007584271645324,0.2720071673393249,1.6170976161956787,6.508769136971682,1.825820895522388,11.883846694414116,0.0074626865671641,0.0985074626865671,2.06825005914409,0.4417875942855564,-0.3860661839717868,-1.2457387862883116,-0.345433092309825,81.031915905258,1.121221214314666,0.1425
1999-01-31,2.024370308496442,1.71905185120893,-0.3,4.384539,-0.0026159286,0.012701988,25.479090777310457,4.65,4.39,2.58,-0.1165813164607447,-0.0083305363976684,-0.0149376600704123,8.455587034150724e-05,0.0045201495934508,0.3317954838275909,1.7790558338165283,6.393590753950631,1.1105527638190955,7.100419882528088,0.016750418760469,0.117252931323283,-0.8281941921603833,0.024576271653774,-1.3885663315099814,-0.4028416926813422,-0.4309713749007349,85.06148162245142,1.2680380304230692,0.1425
1999-02-28,1.986784184896389,1.6837431439977468,0.3,4.3940253,0.0032148361,-0.0026159286,28.03526316191021,4.72,4.34,2.55,0.1233931078723959,-0.0158963883684819,-0.0060711845099898,-0.0001328767207979,0.0043112451049784,0.2338293343782425,1.3240206241607666,6.663132695990803,2.044757033248082,13.624487443592448,0.0179028132992327,0.0767263427109974,1.2777294967615611,-0.1736862107613119,-0.1323498383202896,-0.8415838988915053,-0.3835343992159079,45.52457022967715,1.3013698251780637,0.09511
1999-03-31,2.185560264971225,1.3979983651114378,-0.6,4.388257,0.0048532486,0.0032148361,28.82263153477719,5.0,4.44,2.24,-0.0788698063676314,0.0008704584383467,-0.0709406033135078,0.0001449555472197,0.0060630796503478,0.2279997318983078,1.248893976211548,6.214608098422191,1.9116232464929857,11.87998930878743,0.0040080160320641,0.0841683366733467,2.1374184924198927,0.4767464172839383,-1.1312780615195877,-0.1615602029459261,1.1201511696306257,48.43132885151045,1.176435402195906,0.09511
1999-04-30,2.346800960144088,1.3979983651114378,0.7,4.3962774,-0.004823208,0.0048532486,25.30956541973612,5.23,4.44,2.31,0.1972518276770229,-0.0047794401015668,0.1236982210378787,0.0001207802404992,0.0022660526894453,0.4287277162075043,1.9307531118392944,7.026426808699636,1.622311111111111,11.399050283162405,0.0088888888888888,0.0693333333333333,-0.1168837188078009,-0.7650287032444358,-0.6232178524805126,0.7388630027798616,0.6408100268216665,63.581089818232016,1.4539790576642873,0.09511
1999-05-31,2.369567913552973,-0.2956730475634153,-2.2,4.3968825,-0.0217762,-0.004823208,23.478571483067103,5.18,4.29,2.22,0.200860703188598,-0.0117487017440502,0.1554472218546294,-0.0001207802404992,0.0022959860915063,0.4187085032463074,2.3571739196777344,7.6128310304073565,2.139990113692536,16.291383142283504,0.0084033613445378,0.0499258526940187,2.0473745639671086,-0.392323808436861,-0.5194781518030731,0.2453894240145618,0.5211591404669462,64.45479499763633,2.434858332050344,0.11075
1999-06-30,2.377424295152176,-0.2956730475634153,2.2,4.4061303,-0.0029492378,-0.0217762,26.204500198364254,5.54,4.5,2.18,-0.0045371886094454,-0.0221094399314072,0.0271930780529263,-4.8316181098684297e-05,0.0063026472583853,0.743427038192749,1.8464792966842647,7.520234556474628,0.0740780911062906,0.5570846206152024,0.0580260303687635,0.1832971800433839,-2.639278544914855,0.5527396414308003,-2.3685972600201053,0.613214425332056,-0.7730890898135473,50.48517814238793,1.7512657533672995,0.11075
