Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,brent,gold,bdi,cny_usd,indpro,unemp,sentiment,cpi,gpr_chn_l1,gpr_usa_l1,dxy
1997-05-31,2.567015821421063,0.29567304756342927,0.1,4.345371,0.00792551,4.340009,-0.00019645691,19.662272626703437,6.89,5.16,0.6677272727272727,1.5,1.5,-0.08602399932512839,-0.02108425320788232,-0.04037630539337833,-0.00012012012026429986,0.0011715145153683437,5.1,101.4,0.0006255865077342,0.2731319069862366,1.2982195615768433,0.0235006247072124
1997-06-30,2.482093708411386,0.29567304756342927,-0.1,4.3475804,-0.009963512,4.345371,0.00792551,19.9247620900472,6.71,5.05,0.7695000000000001,1.51,1.51,0.08025067007377373,-0.001830571039000084,0.11803442082311477,-0.00028834717199055504,0.005524360977567255,4.9,103.2,0.0,0.1992357224225998,1.1006957292556763,-0.0305380726826323
1997-07-31,2.504558498844047,0.29567304756342927,0.0,4.356525,-0.011869431,4.3475804,-0.009963512,20.194285983131046,6.49,4.93,0.9104761904761905,1.5,1.5,-0.07887937139447976,-0.008998015719559938,0.04543726634893375,-0.00016824092139566815,0.004585436547763777,5.0,104.5,0.0018744147943507,0.1843758523464203,0.7511608600616455,0.0005725984782722
1997-08-31,2.5172349634679287,0.4812118250596098,0.2,4.3601427,0.0068826675,4.356525,-0.011869431,20.529090881347656,6.22,5.05,0.6931818181818182,1.54,1.54,0.04908807742471222,-0.050126307027138495,0.04941307503546888,-0.0035396136161467417,0.008505942659710719,4.9,107.1,0.001247660798155,0.18350493907928467,0.9073299765586853,0.0273226661273566
1997-09-30,2.507701115530038,0.6526665660823615,0.0,4.3645544,0.013448715,4.3601427,0.0068826675,23.084762028285436,6.3,5.14,0.585,1.44,1.44,0.007069646282430675,-0.0002777306339307728,0.033686970041925335,0.003263156354077257,0.00995494609358527,4.8,104.4,0.0024906613124517,0.13877806067466736,1.051243782043457,0.0014576619083666
1997-10-31,2.577492416239182,1.529660495090407,1.3,4.3695755,0.0054798126,4.3645544,0.013448715,23.812380836123513,6.21,4.95,0.7723809523809523,1.54,1.54,-0.007261796619381311,-0.0036794871684371344,-0.09816221168478734,-0.00042084253294971674,0.009117575456573768,4.9,106.0,0.0024844733276614,0.15430578589439392,0.860172688961029,-0.0077896996004005
1997-11-30,2.5236237713711507,1.4874828366412745,-1.6,4.376309,0.0077528954,4.3695755,0.0054798126,23.870869760927945,6.03,4.97,0.7931818181818181,1.6,1.6,0.07331251329528321,0.006330209963263833,-0.13657272083944072,-0.0001804153165472222,0.008827849981996039,4.7,105.6,0.0018593125901835,0.28928136825561523,1.0718635320663452,-0.0072647460748793
1997-12-31,2.426802540609684,1.529660495090407,0.2,4.374808,-0.002202034,4.376309,0.0077528954,32.034737034847865,5.88,5.14,0.6961111111111111,1.52,1.52,-0.0354041582648148,-0.059709289944746224,-0.19961654798547634,-0.00045719786635300963,0.007844288895028306,4.6,107.2,0.0012376239203497,0.42283299565315247,1.4865221977233887,0.0256913002824434
1998-01-31,2.3335811933630097,1.529660495090407,-0.1,4.374168,-0.0027947426,4.374808,-0.002202034,26.276363719593395,5.81,5.16,0.7495238095238095,1.53,1.53,-0.10970939307402716,-0.05818918316198296,0.0453908432465191,4.813593589236831e-05,0.00424944358291679,4.7,102.1,0.0006182380413308,0.1542905867099762,0.9454402327537537,0.0172678705953934
1998-02-28,2.293905559274323,1.529660495090407,0.0,4.37204,0.018118858,4.374168,-0.0027947426,23.866499996185304,5.54,5.04,0.6144999999999999,1.68,1.68,-0.12343893139036233,0.001246019820632327,-0.15577795742940026,0.0,0.004373784275946591,4.6,106.6,0.0012353306079919,0.24241308867931366,1.113872766494751,0.0062070389161315
1998-03-31,2.2269564970916957,1.570278543484981,0.1,4.37987,0.005493641,4.37204,0.018118858,19.99894724394146,5.57,5.09,0.5473684210526316,1.67,1.67,-0.07640851601871512,0.028607961953061256,0.1407919164527538,0.0,0.0016174896182681309,4.6,110.4,0.0,0.30539751052856445,1.838814377784729,-0.0122279716453919
1998-04-30,2.2533015889034087,1.570278543484981,-0.1,4.3767595,-0.0017495155,4.37987,0.005493641,20.158636353232644,5.65,5.03,0.6581818181818182,1.67,1.67,-0.07115424629318623,-0.005223879900973394,0.06089732998921704,-0.0036166404701885035,0.0003515910121256738,4.7,106.5,0.0,0.17229296267032623,1.2498539686203003,0.0168432064425623
1998-05-31,2.2125500281639945,1.6472311463710985,0.2,4.3760138,-0.0019898415,4.3767595,-0.0017495155,22.028571446736652,5.64,4.95,0.746,1.66,1.66,0.03179563671411856,0.040884167352639444,-0.026852157633280527,0.0036166404701885035,0.0034253831806134727,4.3,108.7,0.001233806448929,0.1768483817577362,1.0672954320907593,-0.0091713755160736
1998-06-30,2.127119586562295,1.8496036794731807,0.4,4.378444,-0.0078930855,4.3760138,-0.0019898415,20.873999786376952,5.65,5.0,0.6905263157894737,1.63,1.63,0.0600157242347632,-0.030262932791125685,-0.129114930866848,0.0,0.0065697125334116535,4.4,106.5,0.0024630554323978,0.7952063679695129,1.957215666770935,0.0172023922765811
1998-07-31,2.154949094187981,1.8496036794731807,-0.6,4.3764286,-0.0041503906,4.378444,-0.0078930855,21.662727269259367,5.5,4.98,0.7163636363636363,1.67,1.67,-0.16270902326160597,-0.022928873006205386,-0.15160714656983565,0.0,-0.006016655286145145,4.5,105.6,0.0012292564547298,0.5262264609336853,1.5843377113342285,0.0047248391270251
1998-08-31,2.1012341716706886,1.879863584396912,0.1,4.375389,-0.0020608902,4.3764286,-0.0041503906,19.929999871687457,5.46,4.96,0.7277272727272728,1.71,1.71,-0.010442225365108637,0.0018797319227843445,0.0006046907172780891,0.0,-0.003852986693513749,4.5,105.2,0.002453988961566,0.3266211152076721,1.147668719291687,0.0159675741869538
1998-09-30,2.2130684954874784,1.909274014016339,0.0,4.378804,-0.014672279,4.375389,-0.0020608902,31.58809498378209,5.34,4.9,0.7775000000000001,2.06,2.06,-0.013801020714641954,-0.030367337438168995,-0.11792405860191302,0.0,0.020491901058277584,4.5,104.4,0.0012247398958962,0.2639833390712738,2.2329885959625244,0.0008824871018724
1998-10-31,2.172447221137584,1.879863584396912,-0.2,4.3811545,0.001229763,4.378804,-0.014672279,38.204762231735955,4.81,4.61,0.888095238095238,2.57,2.57,0.11332541511205063,0.016995994451153074,0.03382342060058363,-0.0038582155408160013,-0.0005323279149607174,4.6,100.9,0.0006118079114054,0.1837109625339508,1.417198896408081,-0.0363695680897917
1998-11-30,2.058037999233275,1.879863584396912,0.1,4.384109,0.0017414093,4.3811545,0.001229763,36.608181953430176,4.53,3.96,1.3076190476190477,2.65,2.65,-0.049258661961154804,0.02376545830477017,0.18365532749327151,-2.416071709143708e-05,0.006812999094851335,4.5,97.4,0.0024434954124759,0.1529788374900818,1.226663589477539,-0.0355851633613539
1998-12-31,1.9258989494359247,1.8496036794731807,-0.1,4.385734,0.012701988,4.384109,0.0017414093,26.223000144958498,4.83,4.41,0.908421052631579,2.45,2.45,-0.1403421616202154,-0.006135092542214338,0.113329692153318,4.832085045647361e-05,-0.0007584271645324492,4.4,102.7,0.0012195123462612,0.27200716733932495,1.6170976161956787,0.019591772930303
1999-01-31,2.024370308496442,1.71905185120893,-0.3,4.384539,-0.0026159286,4.385734,0.012701988,25.479090777310457,4.65,4.39,0.8400000000000001,2.58,2.58,-0.11658131646074477,-0.008330536397668453,-0.014937660070412306,8.455587034150724e-05,0.004520149593450817,4.4,100.5,0.0018264845260347,0.33179548382759094,1.7790558338165283,-0.0230798320393246
1999-02-28,1.986784184896389,1.6837431439977468,0.3,4.3940253,0.0032148361,4.384539,-0.0026159286,28.03526316191021,4.72,4.34,0.6710526315789473,2.55,2.55,0.12339310787239599,-0.01589638836848195,-0.006071184509989891,-0.00013287672079798085,0.0043112451049784895,4.3,103.9,0.0018231545615146,0.2338293343782425,1.3240206241607666,0.0103389790030776
1999-03-31,2.185560264971225,1.3979983651114378,-0.6,4.388257,0.0048532486,4.3940253,0.0032148361,28.82263153477719,5.0,4.44,0.5568421052631579,2.24,2.24,-0.07886980636763141,0.0008704584383467662,-0.07094060331350782,0.00014495554721971615,0.006063079650347802,4.4,108.1,0.0,0.2279997318983078,1.2488939762115479,0.0201207780754675
1999-04-30,2.3468009601440882,1.3979983651114378,0.7,4.3962774,-0.004823208,4.388257,0.0048532486,25.309565419736117,5.23,4.44,0.5643478260869565,2.31,2.31,0.19725182767702298,-0.004779440101566834,0.12369822103787875,0.00012078024049921865,0.0022660526894453525,4.2,105.7,0.0006069802917769,0.4287277162075043,1.9307531118392944,0.0042659867601422
1999-05-31,2.369567913552973,-0.2956730475634153,-2.2,4.3968825,-0.0217762,4.3962774,-0.004823208,23.478571483067103,5.18,4.29,0.7110000000000001,2.22,2.22,0.20086070318859806,-0.011748701744050294,0.15544722185462945,-0.00012078024049921865,0.0022959860915063857,4.3,104.6,0.0066525797210275,0.4187085032463074,2.3571739196777344,-0.0004891016709089
1999-06-30,2.377424295152176,-0.2956730475634153,2.2,4.4061303,-0.0029492378,4.3968825,-0.0217762,26.204500198364258,5.54,4.5,0.5247368421052632,2.18,2.18,-0.004537188609445408,-0.022109439931407238,0.027193078052926367,-4.8316181098684297e-05,0.006302647258385363,4.2,106.8,0.0006025911601446,0.743427038192749,1.8464792966842651,0.0110155253473145
1999-07-31,2.48820055903959,-0.1986901103492341,0.1,4.4067507,-0.016116142,4.4061303,-0.0029492378,23.626363667574797,5.9,4.57,0.6122727272727273,2.18,2.18,0.04104471710109747,-0.05628635724138764,0.03417754140135898,1.2079264131603651e-05,-0.0007846779120086467,4.3,107.3,0.0,0.5265735983848572,1.6317658424377441,0.0051797430227544
1999-08-31,2.5434051233005452,-0.48121182505959653,-0.4,4.4136705,0.023226261,4.4067507,-0.016116142,21.049047470092773,5.79,4.55,0.758095238095238,2.19,2.19,0.18463985088167156,-0.020217546320197677,0.034407878629828303,-0.0001570418157261777,0.005769502318011099,4.3,106.0,0.0042080014002046,0.32539331912994385,1.2352309226989746,-0.0206910795521579
1999-09-30,2.655438680479387,-0.2956730475634153,0.5,4.417982,-0.0017185211,4.4136705,0.023226261,24.323636228388008,5.94,4.72,0.7342857142857143,2.23,2.23,0.05798444552559223,0.002379235476939634,-0.033466031915091676,-4.832552071709628e-05,0.004007243163624885,4.2,104.5,0.0023966458446,0.3371411859989166,1.2700074911117554,-0.0079580005745221
1999-10-31,2.600329398908504,-0.39003531977070816,-0.3,4.424452,0.0006389618,4.417982,-0.0017185211,24.541428611392067,5.92,4.68,0.8914285714285713,2.3,2.3,0.10880755028795397,0.03087908114707716,0.008810515062247504,9.664870619063848e-05,-0.004045261045452442,4.2,107.2,0.0041803584317579,0.3188936710357666,1.3955544233322144,-0.0153752669320725
1999-11-30,2.6965031884715467,7.549516567451036e-15,0.5,4.430224,0.007666588,4.424452,0.0006389618,24.021428516932897,6.11,4.86,1.3210000000000002,2.28,2.28,-0.02428198922306013,0.16014397281733572,-0.042919274274373365,0.0,0.012148883898799312,4.1,103.2,0.0017862463814637,0.37992170453071594,1.482270359992981,-5.145920992344344e-05
1999-12-31,2.737624340884687,7.549516567451036e-15,-0.4,4.4396253,-0.00027179718,4.430224,0.007666588,21.81809525262742,6.03,5.07,1.0325,1.99,1.99,0.11094885010735611,-0.05810543024107506,0.12197640277097932,0.00013287672079798085,0.004835676101424546,4.1,107.2,0.001783061393656,0.31067031621932983,1.1889114379882812,0.0128017442443946
2000-01-31,2.7759793055719992,0.19869011034924872,0.2,4.448897,-0.012270451,4.4396253,-0.00027179718,22.15909090909091,6.28,5.2,0.9326315789473684,1.73,1.73,0.03552574346173909,-0.03509253798125034,0.11588208225792584,7.247077015470893e-05,0.007683533835146861,4.0,105.4,0.0023724803536309,0.41286879777908325,1.8293263912200928,-0.0066298125583559
2000-02-29,2.848664295211935,0.09983407889921521,-0.3,4.4464464,0.015494823,4.448897,-0.012270451,23.201999855041503,6.66,5.32,0.7189473684210527,1.68,1.68,0.0014844655192884915,0.004406147525705784,-0.031476301454775424,-0.00021742806840441276,-0.0013689853853140477,4.0,112.0,0.0029577069772326,0.2667705714702606,1.1989688873291016,0.0245316834650459
2000-03-31,2.861030605781278,0.09983407889921521,0.1,4.4500885,0.009224415,4.4464464,0.015494823,23.595500183105468,6.52,5.55,0.5515,1.91,1.91,0.0850523203534106,0.0532153346604165,0.059255637563508046,0.00010871994357275483,0.0031184257109906355,4.1,111.3,0.0041261479111724,0.20940184593200684,1.2321325540542603,0.0119964994095038
