horizon,q25_linear,q50_linear,q75_linear,q25_ml,q50_ml,q75_ml
32,0.24510803101111378,0.1971423536479051,0.33417564984119963,0.18705250101576104,0.1909374920379613,0.20416122183611743
33,0.23247330290632817,0.20090238089323975,0.29300015488479403,0.1849168007182163,0.1940035229075147,0.19713849475885958
34,0.2793594926484957,0.22481899594504284,0.2886770219884056,0.18199809346460427,0.19363102640628635,0.1844533378269759
35,0.4136620622928149,0.28015473795983326,0.22424738599750071,0.19419999517409908,0.18793936971332553,0.17805054535296228
36,0.3313232428547508,0.17742677826754516,0.22622701669843082,0.1952225763238122,0.19196653302262595,0.1822495626952071
37,0.2678318880753068,0.265841410009898,0.20829262345341704,0.2063609653116986,0.1893160782260248,0.1911258806891265
38,0.17815875927408342,0.19926458621216625,0.20272291945002507,0.20455680349201533,0.18886989811877486,0.18884422882853008
39,0.1832773767374647,0.12950898029157543,0.20409588676557178,0.20606073939709754,0.1913231251484257,0.18593827430469878
40,0.1061548318880341,0.12592943588151684,0.23660764023156844,0.21493166872891994,0.19748829099289927,0.1859550766376742
41,0.06461937270796625,0.046503366988872585,0.136510490647197,0.21510247390465712,0.19141478570983073,0.1858963337847191
42,0.07370947647723369,-0.0042977694790238274,0.14869553286916926,0.20658878361041078,0.19721756293633905,0.19396999014216784
43,0.1955334324954947,0.061700015572341727,0.13661405249240488,0.20145629288117123,0.19547446936125462,0.18876916718290618
44,0.14018744648865322,-0.01743398651433381,0.1338751002040226,0.19850885985912187,0.19779950472883795,0.19960432921477297
45,0.07839540333407058,-0.07100517635279857,0.11150107780576946,0.20553109836672784,0.19982789322210598,0.2029352398868051
46,0.06736576049297582,-0.02100380679422642,0.04286583031353075,0.20003623408801177,0.19730229947260677,0.20263301269017167
47,0.14815263928721834,0.12262570152779517,-0.0002907941561716143,0.18959076399228797,0.1998430026835709,0.20906288283976662
48,0.006277471846033222,0.08424634174298262,-0.05382608216018525,0.18571158443452826,0.20062026646602368,0.21541016818385014
