model,h,beta_wald,first_stage_f,weak_iv
BayesianRidge,14,-0.257848788081308,1921.0217037459574,False
BayesianRidge,15,-0.2877951779002424,1888.2356855559806,False
BayesianRidge,16,-0.3558573555808935,1755.8151718148833,False
BayesianRidge,17,-0.38454316070474776,1744.3727248926232,False
BayesianRidge,18,-0.34787980765260884,1826.2995800460612,False
BayesianRidge,19,-0.3174723610558874,1857.5754350105335,False
BayesianRidge,20,-0.28817925497641766,1886.8705659658815,False
BayesianRidge,21,-0.2766406783216651,1703.6117121626417,False
BayesianRidge,22,-0.25780156780067537,1798.096976422488,False
BayesianRidge,23,-0.26418207718462505,1840.0849503176153,False
BayesianRidge,24,-0.13118190020857587,1936.6104275283162,False
BayesianRidge,25,-0.053805984979133505,1911.0347921708071,False
BayesianRidge,26,-0.07461304322594316,1743.2003676211561,False
BayesianRidge,27,-0.05252984870471366,1799.2422106551571,False
BayesianRidge,28,0.022737990293070776,1747.4989842276427,False
BayesianRidge,29,0.09355364756613056,1726.2810146131233,False
BayesianRidge,30,0.206432303207258,1896.2821258032138,False
BayesianRidge,31,0.261659495635209,1667.1016805204326,False
BayesianRidge,32,0.2708876313938107,1743.8070091710895,False
BayesianRidge,33,0.30319394283192397,1759.913657280151,False
BayesianRidge,34,0.41621863620478033,1733.8755806401157,False
BayesianRidge,35,0.3579321546647238,1722.944648968614,False
BayesianRidge,36,0.49608639169556284,1706.0198135420146,False
BayesianRidge,37,0.30601524425263754,1825.2631018096397,False
BayesianRidge,38,0.2740330059565895,1812.4497849052354,False
BayesianRidge,39,0.4030479191051487,1752.378099290027,False
BayesianRidge,40,0.26138469166352923,1739.600955685624,False
BayesianRidge,41,0.1038346907410356,1672.867756948624,False
BayesianRidge,42,0.15825711925456173,1815.6252538682393,False
BayesianRidge,43,0.11148828755925376,1810.1869131942753,False
BayesianRidge,44,0.3223860774432214,1693.5214534137401,False
BayesianRidge,45,0.017206365699918413,1700.10516815258,False
BayesianRidge,46,-0.021747735501122387,1745.185601129897,False
BayesianRidge,47,-0.2296298657044637,1819.560303722088,False
BayesianRidge,48,-0.17651230346735056,2003.8478503754957,False
