date,usa_d2pri_share
1999-10-01,0.9147835701750857
1999-11-01,0.9633044358355065
1999-12-01,0.5170773360831529
2000-01-01,0.3959517423956106
2000-02-01,0.8361125592215887
2000-03-01,0.3177420467728269
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.46059456591896425
2000-07-01,0.7244157239018953
2000-08-01,0.0
2000-09-01,0.3168589693816563
2000-10-01,0.2260605500505629
2000-11-01,0.8892414893571997
2000-12-01,0.7405792690291629
2001-01-01,0.6584613014075329
2001-02-01,0.6501542960625916
2001-03-01,0.553044986079487
2001-04-01,0.6599513713210107
2001-05-01,0.8603286690577554
2001-06-01,0.9907404724062134
2001-07-01,0.5566472750900222
2001-08-01,0.5683354865829687
2001-09-01,0.5921180936292942
2001-10-01,0.4703514213228657
2001-11-01,2.5592534696388004e-15
2001-12-01,0.9024104394261809
2002-01-01,0.9436264221285091
2002-02-01,0.6476308799003699
2002-03-01,0.5707035503097923
2002-04-01,0.5851979570087069
2002-05-01,0.916321588356936
2002-06-01,0.9538256630614484
2002-07-01,0.9786077487249409
2002-08-01,0.31286617786082305
2002-09-01,0.32369018980407216
2002-10-01,0.8635971606154028
2002-11-01,0.0
2002-12-01,0.24788130756169752
2003-01-01,0.19784327781484667
2003-02-01,0.8887060109073402
2003-03-01,0.9765224005109954
2003-04-01,0.47920296780394117
2003-05-01,0.7281471485787158
2003-06-01,0.7536809841409484
2003-07-01,0.578304674362264
2003-08-01,0.39153015120489737
2003-09-01,0.0
2003-10-01,0.5832635580966531
2003-11-01,0.9056597940863798
2003-12-01,0.6681791607531659
2004-01-01,0.9928441341532958
2004-02-01,0.3137838144073729
2004-03-01,0.5793019194136403
2004-04-01,0.4701768196007026
2004-05-01,0.7289733531754078
2004-06-01,0.9883379551787217
2004-07-01,0.0
2004-08-01,0.2438341393021798
2004-09-01,0.0
2004-10-01,0.39665648802858
2004-11-01,0.3915249248276639
2004-12-01,0.5603049015268131
2005-01-01,0.24739573065900403
2005-02-01,0.8224027749238817
2005-03-01,0.8057838542393265
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.46594726737475467
2005-08-01,0.8996688811282604
2005-09-01,0.3410340697832237
2005-10-01,0.46254082417415504
2005-11-01,0.8641734799332491
2005-12-01,0.6356944451476515
2006-01-01,0.9834706143873051
2006-02-01,0.31407084439559313
2006-03-01,0.0
2006-04-01,0.5510652544146916
2006-05-01,0.6586435181533576
2006-06-01,0.3269744760264764
2006-07-01,0.49845198738790364
2006-08-01,0.3299747423688823
2006-09-01,0.28078726834852086
2006-10-01,0.3860464840157105
2006-11-01,0.0
2006-12-01,0.49999999999999556
2007-01-01,0.984962099893101
2007-02-01,0.9171710680347238
2007-03-01,0.1637294910309132
2007-04-01,0.13963955144969992
2007-05-01,0.0
2007-06-01,0.9839996689740339
2007-07-01,0.3271433571945001
2007-08-01,0.9819219133985813
2007-09-01,0.2390017135227578
2007-10-01,0.6483040213763271
2007-11-01,0.3260337842105568
