dyad,h,coef,se,n,sig
CHN-AUS,24,0.700899106261204,1.6694043138321621,359,0
CHN-AUS,25,0.8961965419439366,1.1936870605182648,358,0
CHN-AUS,26,1.3100765742055955,1.1667341659708077,357,0
CHN-AUS,27,1.6241871370439185,1.34116180249783,356,0
CHN-AUS,28,1.2435622440607403,1.5556583141413882,355,0
CHN-AUS,29,1.4083459080429748,1.4813859260746391,354,0
CHN-AUS,30,0.883654233723064,1.034000431032929,353,0
CHN-AUS,31,0.6032342709877412,1.0878558153664681,352,0
CHN-AUS,32,0.7409242931462359,1.179616709060104,351,0
CHN-AUS,33,1.8072456699810573,1.34367317540795,350,0
CHN-AUS,34,1.784142005359172,1.1732255986029236,349,0
CHN-AUS,35,2.1629498458787566,1.0565619446060355,348,1
CHN-AUS,36,2.2471481667016633,0.9854355989841207,347,1
CHN-AUS,37,2.0255382749746786,0.888227486046633,346,1
CHN-AUS,38,1.5035593088323367,0.915600824428274,345,0
CHN-AUS,39,1.5233488015219336,1.07667470995018,344,0
CHN-AUS,40,1.3848690891391016,1.243316049806272,343,0
CHN-AUS,41,1.6362680458114482,1.0701595337480283,342,0
CHN-AUS,42,1.9778213160607265,0.9804152078934023,341,1
CHN-AUS,43,2.6669143239269033,1.1347610340939718,340,1
CHN-AUS,44,2.7246185558105935,1.1741852514708966,339,1
CHN-AUS,45,3.0367199924075976,1.2114981816903825,338,1
CHN-AUS,46,2.359503214036522,1.166397033799059,337,1
CHN-AUS,47,2.1151178485306446,1.1441791760702409,336,1
CHN-AUS,48,1.1039752981596394,1.0363861278795623,335,0
CHN-FRA,0,-0.24009306521293183,0.1555710759289154,383,0
CHN-FRA,1,-0.1390256813574524,0.2533688300508948,382,0
CHN-FRA,2,-0.2228473134109663,0.34971432370569244,381,0
CHN-FRA,3,-0.24197575533798954,0.3954733848042986,380,0
CHN-FRA,4,-0.05545584898209199,0.41192669133703114,379,0
CHN-FRA,5,0.2081826720295794,0.39359596466450386,378,0
CHN-FRA,6,0.4621790676483215,0.3696371683763774,377,0
CHN-FRA,7,0.6459723113857763,0.34870953046468073,376,1
CHN-FRA,8,0.5176654249498824,0.36563431245038625,375,0
CHN-FRA,9,0.6553718883387774,0.45591805112812595,374,0
CHN-FRA,10,0.6798235621281492,0.47844366464053617,373,0
CHN-FRA,11,0.5673433885240229,0.4698380632527546,372,0
CHN-FRA,12,0.5522489296781714,0.46187500567218054,371,0
CHN-FRA,13,0.9194976982525986,0.5472177097249143,370,1
CHN-FRA,14,0.8613389219881356,0.5483040865488029,369,0
CHN-FRA,15,0.8851618420139857,0.5538968964605389,368,0
CHN-FRA,16,0.9776001743648521,0.5331583061411884,367,1
CHN-FRA,17,1.0846234881464625,0.48289678609819725,366,1
CHN-FRA,18,0.7170389231723675,0.4815302999938525,365,0
CHN-FRA,19,0.6808642316391342,0.5219766646318489,364,0
CHN-FRA,20,0.4829752126115636,0.5718997056945346,363,0
CHN-FRA,21,0.636869851310621,0.569236081891296,362,0
CHN-FRA,22,0.47411665028630523,0.6062703081032526,361,0
CHN-FRA,23,0.43903582936945895,0.5849574341206429,360,0
CHN-FRA,24,0.7164752837852575,0.5657155487967634,359,0
CHN-FRA,25,0.9365980619732,0.5350709072240053,358,1
