horizon,dml_beta,dml_se,q25_beta,q25_lo,q25_hi,q50_beta,q50_lo,q50_hi,q75_beta,q75_lo,q75_hi
22,-0.25780156780067515,0.13428956975727246,-0.9898609334777575,-3.0606805598927167,-0.8949297174941779,-0.15725546422618208,-0.9389974817711277,0.6989415111907873,0.2545895154471509,-0.07944891415827442,1.5438842588839177
23,-0.26418207718462516,0.13311356289294496,-0.9466836711071664,-3.543759527275847,-0.675107022867451,0.04957115277647972,-0.8703415308330477,0.9841642446309374,0.3627711428271141,-0.27695495369989653,1.6087979167961741
24,-0.1311819002085757,0.11612574775965397,-1.6689906653482467,-4.290391974074373,-1.7703368714516796,0.376440666615963,-0.6068257236373029,1.2802557028742738,-0.4538837997097289,-1.5055315808309389,0.4493588139881464
25,-0.05380598497913363,0.1389125157749896,-0.779229707117338,-3.1889921409463566,-0.27327108869412775,0.02213107749412302,-0.9147091662252933,0.9125477618670625,0.5195094096125104,-0.25754903961255876,1.693263873400428
26,-0.07461304322594324,0.12705419330515266,-1.475884363586374,-4.305812308071109,-1.3178656425754545,0.252142854667909,-0.6758079595858362,1.2443290229242843,1.014542074957717,-0.07182266393265305,2.612689712866267
27,-0.05252984870471353,0.12932445637264445,-0.9510770738124847,-3.3230573226082925,-0.4645777526424376,-0.035185864893719554,-1.0148935228062328,0.9860919474369431,0.9556803888990544,-0.09955267527402603,2.3658894225241958
28,0.022737990293070692,0.14034223792383008,-0.14657288542366587,-1.7704426790733123,0.9196603188589502,-0.03998352913185954,-0.7968635101260588,0.7529290673734065,0.7272738458850654,-0.22336730288370732,1.922303093075558
29,0.09355364756613042,0.1380125517795906,-0.3955294040424633,-2.4186762889010422,0.617025476385879,0.10357964241120499,-0.7674778851276641,1.048051146272337,0.018824470695108175,-0.9290915477678936,0.9978507964482544
30,0.20643230320725806,0.14503475880681227,-0.560483444671263,-2.8254616674443356,0.5731234021756777,-0.01848866487853229,-0.8313051641784114,0.7905702646154167,-0.15299832451273687,-0.8482335168431746,1.1098561741471706
31,0.26165949563520885,0.16195067607889202,-0.8035855505077052,-3.109289077656695,0.055985906162640944,-0.19500079978752183,-0.9633981775063148,0.5533738358330765,-0.06904918578220531,-0.9411756416284334,0.9042778947579788
32,0.27088763139381056,0.1720305323942672,-0.5499023738375399,-2.9536398034484592,0.20461867885859383,0.12038632087387668,-0.5834196686082578,0.811054863278877,0.4699024362853379,-0.4378503184063447,1.5529733991439563
33,0.303193942831924,0.19102276791693296,0.14415878081854316,-2.006361288275366,1.9032982186488874,0.04796047973650275,-0.6630362585700595,0.7827660841065153,0.05343138679745607,-0.9544929534462426,0.9281318710767661
34,0.4162186362047806,0.22867563179238698,-0.23814779100939631,-2.336736737674619,0.9245685019261121,0.7084832338878186,-0.08449913024305714,1.4662157561102502,0.15484262502286583,-1.5795694506601647,0.7897337457406127
35,0.35793215466472406,0.24749603362713882,-0.1678727739581518,-2.3365761447217666,1.2804688612997774,0.4519087817752734,-0.3999330257458496,1.2555711454537226,-0.2699785678778426,-1.6090345814355713,0.34292996498115785
36,0.49608639169556257,0.2867125592696791,-0.09918134941835888,-2.095076258088534,1.3633416039574509,0.6237778978320421,-0.1307499884516346,1.4326449853586378,-1.3019995043287054,-2.850598154624822,-0.9464417314459752
37,0.3060152442526375,0.27529536782911984,0.46588745422195643,-1.710902839602386,2.1744115820876684,0.41956126873992616,-0.6291630324967628,1.5366696451617563,-0.18904852491687052,-1.7586618167057166,0.3581330423628058
38,0.2740330059565895,0.2869664686435453,0.15966115756964427,-2.2338155660193477,1.5083248659590005,0.8062903159298003,-0.26971065767502295,1.7740382314424095,-0.37940342651563697,-2.2613942036983645,-0.28077155521459657
39,0.40304791910514876,0.3105360086751105,0.618511452616076,-1.3895564297563396,2.8408711112508165,0.47024410864833044,-0.7859926828843072,1.6625747480133428,-0.7789365700591588,-2.9037397400563347,-0.5520216852968589
40,0.26138469166352896,0.31163951401608886,0.6699969901237637,-1.5625419023509493,2.9405209863792603,0.35979529219548567,-0.8104207429585586,1.5616774999606147,-0.5219862787754437,-2.168671959379571,0.33157977366663516
41,0.10383469074103578,0.2878235564385969,0.15460841558524407,-2.5604420535273675,1.8827869518488114,1.0934142409387277,0.0006331390221021577,2.2377774237247645,-0.5728950607008301,-2.6407889281188544,-0.24977059050397668
42,0.15825711925456132,0.30231891709800274,0.6970595787424827,-2.0744059962315076,2.435293776025717,1.2254648958187317,-0.13901256881981672,2.4476245392765117,-0.6110765805460687,-2.7612333208970083,-0.11465080067173423
43,0.11148828755925366,0.30819928355825593,-0.18343333566735964,-3.1600912929865443,1.235150495077413,1.083552101823443,-0.2247778457844106,2.3457479864351627,-0.4095001856221643,-2.8072936876719266,0.09909530724689812
44,0.3223860774432213,0.35080968960874365,-0.005211326671997085,-2.9906952867497236,1.0579317467727354,1.45676628354704,0.05947145999707574,2.787517667488828,-0.32274310560660524,-2.7966740171279523,0.31098414989428413
45,0.017206365699918586,0.3292938930302722,0.5168159702734556,-2.033462473585314,2.2598262090614276,1.32429327419959,-0.15206080107782327,2.820414813129173,-0.23727326783409808,-2.5711654918398437,0.4825780666061286
46,-0.021747735501122467,0.3202447057833268,1.266324535223248,-1.180401800567415,3.9547941227357564,0.985112368267437,-0.6165467697810527,2.649004912631426,0.053041266924083175,-1.836577047749597,1.1068741141625644
47,-0.2296298657044637,0.2694628508012932,0.28388486203039065,-2.5512510518774434,2.8237674161452553,0.3378034792258404,-1.3494051387388026,1.9099894223734735,-0.07673109565257619,-1.6908326747805404,0.9108865199223141
48,-0.17651230346735053,0.3172490702573869,0.10780305485241115,-2.8650845870190094,2.402959178749368,0.09250102192163467,-1.4716453712269866,1.8375130711701786,0.14104056371434126,-1.3222948731392534,1.4246333779291487
