horizon,q25_linear,q50_linear,q75_linear,q25_mlrf,q50_mlrf,q75_mlrf
31,0.22741263433789527,0.2138271196158712,0.37291909426858183,0.19101234549969037,0.18793002166335881,0.20101434469990265
32,0.24510803101111378,0.1971423536479051,0.33417564984119963,0.1870525010157602,0.1909374920379609,0.20416122183611712
33,0.23247330290632817,0.20090238089323975,0.29300015488479403,0.18491680071821603,0.19400352290751477,0.19713849475885925
34,0.2793594926484957,0.22481899594504284,0.2886770219884056,0.1819980934646045,0.19363102640628627,0.18445333782697568
35,0.4136620622928149,0.28015473795983326,0.22424738599750071,0.1941999951740993,0.1879393697133257,0.17805054535296239
36,0.3313232428547508,0.17742677826754516,0.22622701669843082,0.19522257632381235,0.19196653302262584,0.18224956269520712
37,0.2678318880753068,0.265841410009898,0.20829262345341704,0.20636096531169845,0.18931607822602467,0.19112588068912606
38,0.17815875927408342,0.19926458621216625,0.20272291945002507,0.20455680349201508,0.18886989811877475,0.18884422882853036
39,0.1832773767374647,0.12950898029157543,0.20409588676557178,0.20606073939709796,0.1913231251484258,0.1859382743046995
40,0.1061548318880341,0.12592943588151684,0.23660764023156844,0.21493166872891983,0.1974882909928986,0.18595507663767427
41,0.06461937270796625,0.046503366988872585,0.136510490647197,0.21510247390465723,0.19141478570983048,0.18589633378471893
42,0.07370947647723369,-0.0042977694790238274,0.14869553286916926,0.20658878361041053,0.19721756293633932,0.19396999014216748
43,0.1955334324954947,0.061700015572341727,0.13661405249240488,0.20145629288117106,0.19547446936125512,0.1887691671829071
44,0.14018744648865322,-0.01743398651433381,0.1338751002040226,0.19850885985912198,0.19779950472883837,0.19960432921477325
45,0.07839540333407058,-0.07100517635279857,0.11150107780576946,0.20553109836672817,0.19982789322210556,0.2029352398868057
46,0.06736576049297582,-0.02100380679422642,0.04286583031353075,0.20003623408801166,0.19730229947260702,0.20263301269017203
47,0.14815263928721834,0.12262570152779517,-0.0002907941561716143,0.18959076399228825,0.19984300268357147,0.20906288283976687
48,0.006277471846033222,0.08424634174298262,-0.05382608216018525,0.18571158443452832,0.20062026646602404,0.21541016818385111
