h,beta_L,beta_H,se_L,se_H,diff,se_diff,p_diff,n,beta_L_lo90,beta_L_hi90,beta_H_lo90,beta_H_hi90,diff_lo90,diff_hi90
30,237994.980608345,0.05892349174800948,1661927.1466500263,0.3909202463817985,-237994.92168485327,1661927.524535787,0.8861289508715784,352,-2495875.1756309485,2971865.1368476385,-0.584140313550049,0.701987297046068,-2971865.699546223,2495875.8561765165
31,-202768.0218775752,0.15951709366576078,2056440.479643,0.4553323789533861,202768.18139466888,2056440.9251403185,0.9214546706919982,351,-3585612.6108903103,3180076.56713516,-0.5895046697125592,0.9085388570440809,-3180077.140461155,3585613.5032504927
32,240029.7831366232,0.10588407697080554,1546697.0130533227,0.34138877960014624,-240029.67725254624,1546697.345264717,0.8766726956293021,350,-2304286.8033360923,2784346.369609339,-0.455700465471435,0.6674686194130461,-2784346.810213006,2304287.4557079133
33,999227.776154277,-0.05481827803822159,1333473.749208827,0.29702917043692273,-999227.8309725551,1333474.036215566,0.4536512215196473,349,-1194336.5412942437,3192792.0936027975,-0.5434312634069595,0.4337947073305163,-3192792.6205471614,1194336.9586020513
34,1972353.2997151827,-0.2836833909042995,1362223.3381176912,0.29941254238441245,-1972353.5833985736,1362223.6285211053,0.14764707472504934,348,-268504.09148841957,4213210.690918785,-0.776217023126658,0.20885024131805896,-4213211.452315792,268504.28551864484
35,2031892.4359732186,-0.33032090083770677,1370937.9542491245,0.3026919907238072,-2031892.7662941194,1370938.2485801007,0.13830880091812792,347,-223300.4987665913,4287085.370713029,-0.8282492255783696,0.16760742390295608,-4287086.185208385,223300.65262014605
36,1429756.4935251472,-0.2649459356757631,1338346.2200678717,0.29474163030987793,-1429756.758471083,1338346.5071734719,0.2853848092753404,346,-771823.0384865019,3631336.025536796,-0.7497959175355122,0.21990404618398612,-3631336.762771444,771823.2458292781
37,1065351.4185313543,-0.1453820507416744,1304402.466203795,0.2932947704180789,-1065351.563913405,1304402.7507565191,0.4140798048044483,345,-1080390.6383738888,3211093.475436597,-0.6278519480794141,0.3370878465960654,-3211094.088907879,1080390.961081069
38,1047799.5555201098,-0.16743926821608124,1274116.4758457271,0.2879851866497715,-1047799.722959378,1274116.7535609289,0.41086441524227846,344,-1048122.0472461113,3143721.158286331,-0.6411749002549554,0.3062963638227929,-3143721.782567106,1048122.3366483499
39,809592.868910074,-0.10370017077022037,1402393.6864877732,0.33037392288231576,-809592.9726102448,1402394.0013670437,0.5637411888710415,343,-1497344.7453623128,3116530.483182461,-0.6471652739116298,0.439764932371189,-3116531.1048590317,1497345.159638542
