outcome,h,coef,se,lo90,hi90
Log USD/CNY exchange rate,18,-0.03721268122615129,0.017649864562506504,-0.06624670843147448,-0.00817865402082809
Log USD/CNY exchange rate,19,-0.039223342341415446,0.01758300964807154,-0.06814739321249313,-0.01029929147033776
Log USD/CNY exchange rate,20,-0.038999886055080424,0.01740133279213016,-0.06762507849813454,-0.010374693612026312
Log USD/CNY exchange rate,21,-0.035613698090855905,0.017779243270024402,-0.06486055327004604,-0.006366842911665765
Log USD/CNY exchange rate,22,-0.03478208694446039,0.01740633491442565,-0.06341550787869057,-0.006148666010230196
Log USD/CNY exchange rate,23,-0.03634684619669315,0.017359126042506955,-0.06490260853661708,-0.007791083856769208
Log USD/CNY exchange rate,24,-0.03461623503449118,0.017007323665910838,-0.06259328246491451,-0.0066391876040678525
Log USD/CNY exchange rate,25,-0.03303667820273404,0.016899054524142764,-0.060835622894948885,-0.005237733510519191
Log USD/CNY exchange rate,26,-0.037355965080450915,0.016670077557109416,-0.06477824266189591,-0.009933687499005923
Log USD/CNY exchange rate,27,-0.04131583973821762,0.016698655859851284,-0.06878512862767298,-0.013846550848762258
Log USD/CNY exchange rate,28,-0.04367420150674661,0.01630351436777527,-0.07049348264173694,-0.01685492037175629
Log USD/CNY exchange rate,29,-0.04576515645453583,0.01612498393101179,-0.07229075502105023,-0.01923955788802143
Log USD/CNY exchange rate,30,-0.04646760740661193,0.015902935632202634,-0.07262793652158527,-0.0203072782916386
Log USD/CNY exchange rate,31,-0.044959759658695475,0.016009973926613626,-0.07129616676797489,-0.01862335254941606
Log USD/CNY exchange rate,32,-0.04424564975715839,0.015986870646021088,-0.07054405196986308,-0.0179472475444537
Log USD/CNY exchange rate,33,-0.03959215401255278,0.015705085805010833,-0.06542702016179561,-0.013757287863309962
Log USD/CNY exchange rate,34,-0.03567816889903952,0.01568196814282,-0.06147500649397842,-0.00988133130410062
Log USD/CNY exchange rate,35,-0.03377374826868618,0.015819343261607655,-0.05979656793403077,-0.007750928603341582
Log USD/CNY exchange rate,36,-0.038038570985008846,0.015777690576258278,-0.06399287198295371,-0.012084269987063977
Log USD/CNY exchange rate,37,-0.03457508936139675,0.015604444640480233,-0.06024440079498673,-0.008905777927806766
Log USD/CNY exchange rate,38,-0.03697649768128031,0.015426742040073556,-0.06235348833720131,-0.011599507025359307
