dyad,h,coef,se,lo90,hi90
South Korea,4,-0.20496324505211305,0.19820706301823166,-0.5310138637171041,0.12108737361287802
South Korea,5,-0.21781135456240008,0.17819018163683212,-0.5109342033549888,0.07531149423018874
South Korea,6,-0.1806369900664322,0.20348752398588515,-0.5153739670232133,0.15409998689034887
South Korea,7,-0.12773846306527048,0.2171642196837753,-0.48497360444508086,0.2294966783145399
South Korea,8,-0.09594494469547499,0.2157479583112092,-0.4508503361174141,0.2589604467264641
South Korea,9,-0.10309106163140314,0.2182975379124052,-0.46219051149730966,0.2560083882345034
South Korea,10,-0.025006956911965972,0.18000976855641096,-0.321123026187262,0.2711091123633301
South Korea,11,-0.1220405896997363,0.18420443673950435,-0.42505688813622095,0.18097570873674834
South Korea,12,-0.1409774230169205,0.20548441667492642,-0.4789992884471745,0.19704444241333346
South Korea,13,-0.19126382061995173,0.2187634893750277,-0.5511297606418724,0.16860211940196884
South Korea,14,-0.2201967960645561,0.26467772480241986,-0.6555916533645367,0.21519806123542456
South Korea,15,-0.2627409252158941,0.23537326549636553,-0.6499299469574153,0.12444809652562722
South Korea,16,-0.4419198593591318,0.23313625077172354,-0.8254289918786171,-0.0584107268396466
South Korea,17,-0.3339551720837335,0.21979295984462086,-0.6955145910281348,0.027604246860667814
South Korea,18,-0.46065453845631055,0.2616247337693706,-0.8910272255069251,-0.030281851405695892
South Korea,19,-0.5514765239795452,0.3203854585086746,-1.0785106032263148,-0.02444244473277546
South Korea,20,-0.331556905628986,0.3152155093761742,-0.8500864185527925,0.18697260729482057
South Korea,21,-0.16882588336602566,0.3079656880442273,-0.6754294401987796,0.33777767346672827
South Korea,22,-0.07772951018569074,0.3159328746409788,-0.5974390889701009,0.4419800685987194
South Korea,23,-0.0016111627435293485,0.3109780895103507,-0.5131701199880563,0.5099477945009976
South Korea,24,-0.07219303783062969,0.3121188418763702,-0.5856285327172587,0.4412424570559993
South Korea,25,-0.16986656856261106,0.3417401529290955,-0.7320291201309731,0.39229598300575097
South Korea,26,-0.15274047493585385,0.3329274575348711,-0.7004061425807168,0.39492519270900905
South Korea,27,-0.10782743444337939,0.324168057522344,-0.6410838890676352,0.42542902018087647
South Korea,28,-0.23213735886361064,0.3341392359588196,-0.7817964020158689,0.3175216842886476
South Korea,29,-0.0884489374811892,0.30801988959070165,-0.5951416558578935,0.41824378089551506
South Korea,30,0.009452088748503229,0.30297632428393684,-0.4889439646985729,0.5078481421955794
South Korea,31,0.06951207473684917,0.2921330490170201,-0.4110467908961489,0.5500709403698472
South Korea,32,0.07745663675245851,0.3276918376920672,-0.4615964362509921,0.6165097097559091
South Korea,33,0.13829283781183221,0.28555123408499383,-0.33143894225798265,0.6080246178816471
South Korea,34,0.07005280261159896,0.2507528655146534,-0.3424356611600059,0.4825412663832038
South Korea,35,-0.08775361290508954,0.2723261006182443,-0.5357300484221015,0.36022282261192234
South Korea,36,-0.009616542092999225,0.28727778240981316,-0.4821884941571419,0.46295540997114343
South Korea,37,0.04238185870531197,0.30882186025276454,-0.46563010141048566,0.5503938188211096
South Korea,38,-0.07559079644761368,0.31451637756543227,-0.5929702375427498,0.44178864464752243
South Korea,39,-0.12425170840492683,0.35360477316929345,-0.7059315602684145,0.45742814345856087
South Korea,40,0.011893560996213637,0.34719361141188093,-0.5592399297763305,0.5830270517687578
South Korea,41,0.03912846981961593,0.3827525652025712,-0.5904994999386137,0.6687564395778456
