Period_dt,corr_d2pri_wti_h6
1998-06-30,-0.015995054717788722
1998-07-31,0.04613154335344159
1998-08-31,0.03063158280954035
1998-09-30,0.030406240018312804
1998-10-31,0.03559987376933317
1998-11-30,0.031722868571667485
1998-12-31,0.038205238121713544
1999-01-31,0.02872684732629932
1999-02-28,0.03859406169207725
1999-03-31,0.009518233085805874
1999-04-30,0.032696365324178994
1999-05-31,-0.06423966403331273
1999-06-30,0.03585972493630631
1999-07-31,0.039594299455849205
1999-08-31,0.016888328322637702
1999-09-30,0.04276517996184714
1999-10-31,0.02795380936223584
1999-11-30,0.05058889939919055
1999-12-31,0.027831814753269537
2000-01-31,0.035903126730972644
2000-02-29,0.02008325466508053
2000-03-31,0.02622765508406924
2000-04-30,0.023903746450046195
2000-05-31,0.019860332149103755
2000-06-30,0.02282415046707859
2000-07-31,0.01963276825891127
2000-08-31,0.019726194282392515
2000-09-30,0.02176488199190685
2000-10-31,0.01772651991586335
2000-11-30,0.020177117450628584
2000-12-31,0.018242589753310025
2001-01-31,0.014958147265538636
2001-02-28,0.010958040742074297
2001-03-31,0.03514072146027483
2001-04-30,0.014593821989087768
2001-05-31,0.014835843352125294
2001-06-30,-0.002179065187642203
2001-07-31,-0.005325723749099372
2001-08-31,-0.0008938084866767525
2001-09-30,0.0020374407924087018
2001-10-31,-0.001451102752175718
2001-11-30,-0.002989355062169267
2001-12-31,-0.0014653164593599766
2002-01-31,-0.0077145801329872275
2002-02-28,-0.0025066736866919182
2002-03-31,-0.02070395845420278
2002-04-30,-0.005643050183714667
2002-05-31,-0.007845592959526047
2002-06-30,-0.002020115275228753
2002-07-31,-0.012265573867826077
2002-08-31,-0.0021424851736487143
2002-09-30,0.0013076801917675494
2002-10-31,0.049038414657067125
2002-11-30,-0.020331251491912814
2002-12-31,-0.006436452895246003
2003-01-31,-0.010169911313504611
2003-02-28,-0.008247956244145148
2003-03-31,-0.005972308392957928
2003-04-30,-0.010782983109866986
2003-05-31,-0.0002771818323797889
2003-06-30,0.05091551864120075
2003-07-31,-0.0016328776063137516
2003-08-31,0.00383661679075428
2003-09-30,0.004371192902460332
2003-10-31,0.002546540522737114
2003-11-30,-0.009896049917531735
2003-12-31,0.007181399139533137
2004-01-31,-0.044612623304925735
2004-02-29,-0.0208290959317437
2004-03-31,-0.06131846689024142
2004-04-30,-0.01144813476605691
2004-05-31,-0.10979714988791348
2004-06-30,-0.06866173335890143
2004-07-31,-0.06483715794720211
2004-08-31,-0.05073149399339083
2004-09-30,-0.05277422424940383
2004-10-31,-0.07526940181970031
2004-11-30,-0.026420264385075314
2004-12-31,-0.07263312500661293
2005-01-31,-0.05479298872921397
2005-02-28,-0.12242586894375819
2005-03-31,-0.04910747484398261
2005-04-30,-0.04749340173336443
2005-05-31,-0.04638848606003336
2005-06-30,-0.04275909111281642
2005-07-31,-0.03235499274905825
2005-08-31,-0.02241209121553805
2005-09-30,-0.02775436221241754
2005-10-31,-0.041914936394935
2005-11-30,-0.026829109575113554
2005-12-31,-0.05052436883533592
2006-01-31,-0.0394281256433475
2006-02-28,-0.05868840006571621
2006-03-31,-0.035535773520067475
2006-04-30,-0.06987531684139851
2006-05-31,-0.07222842255237437
2006-06-30,-0.03075490459109849
2006-07-31,0.03735153709070578
2006-08-31,-0.01947732175230113
2006-09-30,0.0007717202596883642
2006-10-31,-0.005074661850565705
2006-11-30,-0.005381985913677292
2006-12-31,0.00950132061674687
2007-01-31,-0.038402870003237936
2007-02-28,-0.011101877387981034
2007-03-31,-0.0886330499540256
2007-04-30,-0.01501220647764214
2007-05-31,-0.04268723654188007
2007-06-30,-0.03338456924116314
2007-07-31,-0.07265290665525038
2007-08-31,-0.012600999714507661
2007-09-30,-0.01737045299207578
2007-10-31,-0.059630365806793345
2007-11-30,-0.024988210976563396
2007-12-31,0.020654394191768944
2008-01-31,0.0011106757144203313
2008-02-29,0.0018970221513258164
2008-03-31,-0.06168488560002903
2008-04-30,-0.0483450813469282
2008-05-31,-0.1089517028513791
2008-06-30,-0.08521561887489977
2008-07-31,-0.0374175794646378
2008-08-31,-0.07535663893268967
2008-09-30,-0.05977122756318538
2008-10-31,-0.01099767061524357
2008-11-30,-0.05285533860320895
2008-12-31,0.0045691282174596904
2009-01-31,-0.0481520528644477
2009-02-28,-0.040947444319522824
2009-03-31,-0.06493294800298513
2009-04-30,-0.04971469313936673
2009-05-31,-0.08149534149276175
2009-06-30,-0.04424290506280091
2009-07-31,-0.045663040425992556
2009-08-31,-0.042900938373604536
2009-09-30,-0.04301538336701967
2009-10-31,-0.04931368178797849
2009-11-30,-0.017833617461644052
2009-12-31,-0.03854731146615208
2010-01-31,-0.037469024250340814
2010-02-28,-0.0392364950623787
2010-03-31,-0.03495289076939019
2010-04-30,-0.027292641391838023
2010-05-31,-0.027593586680447386
2010-06-30,-0.04022405242172756
2010-07-31,-0.038459564482274305
2010-08-31,-0.030711769325119924
2010-09-30,-0.025683508732670206
2010-10-31,-0.03478691282638177
2010-11-30,-0.027857025960830593
2010-12-31,-0.03360161411981424
2011-01-31,0.005064287950398429
2011-02-28,-0.007327728743227322
2011-03-31,-0.007340820207969909
2011-04-30,0.012709239718950873
2011-05-31,-0.006905097202374295
2011-06-30,-0.007065622300499445
2011-07-31,0.019417820510183478
2011-08-31,0.013909171793501346
2011-09-30,-0.01367094978757359
2011-10-31,0.009735933605469864
2011-11-30,0.01227651639784765
2011-12-31,0.009816478991450014
2012-01-31,0.006953579932011894
2012-02-29,0.009054941491018906
2012-03-31,0.009242660532889612
2012-04-30,0.006821535257570482
2012-05-31,0.0067715862774400774
2012-06-30,0.014130414402131343
2012-07-31,0.015999595552589535
2012-08-31,-0.005568742998890157
2012-09-30,0.0061402510634081834
2012-10-31,0.022683096679169425
2012-11-30,-0.0005483032701483411
2012-12-31,-0.029483733786871625
2013-01-31,-0.0012320529691241702
2013-02-28,0.009985849361746959
2013-03-31,0.0323169417026625
2013-04-30,0.03648738260259799
2013-05-31,0.08170353512557701
2013-06-30,0.07085585641625107
2013-07-31,0.05151507910421377
2013-08-31,0.09855830984154182
2013-09-30,0.056703870551892195
2013-10-31,-0.001727789185148686
2013-11-30,0.08812701216862716
2013-12-31,0.10386366273257483
2014-01-31,0.08482401141071895
2014-02-28,0.0589845438810666
2014-03-31,0.0064314480207802475
2014-04-30,0.09407864393753129
2014-05-31,0.006938159008538952
2014-06-30,0.0543108519458005
2014-07-31,0.007621712728514573
2014-08-31,-0.013519339747905094
2014-09-30,-0.011935128970459168
2014-10-31,-0.029309091272240163
2014-11-30,-0.055736439710423295
2014-12-31,-0.008094004265603298
2015-01-31,-0.026075024814019535
2015-02-28,-0.03779856650783089
2015-03-31,-0.013157589733279781
2015-04-30,0.05659302767811387
2015-05-31,0.051492125591247835
2015-06-30,-0.0632287449377607
2015-07-31,0.02595104476164034
2015-08-31,-0.05630042972428782
2015-09-30,-0.11423063768323417
2015-10-31,-0.030400403084723675
2015-11-30,-0.04434907502406459
2015-12-31,-0.00778324017975183
2016-01-31,-0.08011892567674676
2016-02-29,-0.038622979579082575
2016-03-31,-0.0008557528512497366
2016-04-30,-0.030193508644528123
2016-05-31,-0.022126208946752136
2016-06-30,-0.04640516125538511
2016-07-31,-0.01735775207803
2016-08-31,-0.04161953104086146
2016-09-30,-0.0001634480367153672
2016-10-31,-0.02845022540411622
2016-11-30,-0.05767877910613596
2016-12-31,0.001162925541500317
2017-01-31,-0.01090057280884213
2017-02-28,-0.02628623929866596
2017-03-31,-0.013308857881143148
2017-04-30,-0.028933755160772852
2017-05-31,-0.01132902479555937
2017-06-30,-0.020931709824275765
2017-07-31,-0.016052356953264006
2017-08-31,-0.003775144416938951
2017-09-30,-0.023917926934808903
2017-10-31,-0.0209614742330486
2017-11-30,-0.014034020964226528
2017-12-31,-0.02055749429887696
2018-01-31,-0.021348667440806747
2018-02-28,-0.019633558885598697
2018-03-31,-0.043991754017112264
2018-04-30,-0.045742561118892126
2018-05-31,-0.03956544405104786
2018-06-30,-0.03691674199241188
2018-07-31,-0.024410136702986168
