h,beta,se_beta,gamma,se_gamma,gamma_lo90,gamma_hi90,gamma_p
36,0.11947930438193201,0.08852488380105555,-0.011227042592248992,0.03344285554509593,-0.0662405399639318,0.04378645477943381,0.7370908820815916
37,0.13863452391370318,0.08685474866320371,-0.021690811714756206,0.034885957008886366,-0.07907821099437427,0.03569658756486187,0.5340974470515638
38,0.10238955696046181,0.08912712594828198,-0.022534472665945757,0.0364451162899312,-0.08248668896288258,0.03741774363099106,0.5363693329296373
39,0.10157499615097886,0.10017097950390365,-0.020547520389713247,0.036838086784245196,-0.0811461731497966,0.0400511323703701,0.5769951341258339
40,0.05387128527862832,0.09756068634011843,-0.02846065891680974,0.037129611741659956,-0.08953887023184037,0.03261755239822089,0.4433658521264774
41,0.016447236194323298,0.09809391233707683,-0.03509745774421838,0.03815917620193888,-0.09786930259640783,0.02767438710797107,0.35769580930877076
42,0.05230044998359673,0.09921865178062979,-0.04096483103367049,0.039640901538456376,-0.10617411406443122,0.024244451997090244,0.3014176505920876
43,0.04771683612396736,0.09258069123124775,-0.0408518112030587,0.04104454912808954,-0.10837009451876599,0.026666472112648595,0.31958834671566594
44,0.08215874984088362,0.08916385428394678,-0.0408066165024531,0.04285016226727327,-0.11129513343211762,0.02968190042721143,0.3409400424760267
45,0.04849133720190449,0.0883966210018262,-0.052875246173626295,0.042596185516430435,-0.12294597134815437,0.01719547900090178,0.21448973370713587
46,0.048814871205874244,0.08788738909632689,-0.052087638896552844,0.04348377175092695,-0.12361844342682768,0.019443165633721983,0.23097001925984495
47,0.05692548991250257,0.09875117724522266,-0.05381964421147195,0.04557627412995664,-0.12879261515525064,0.02115332673230673,0.23765446326320294
48,0.01360198548144878,0.11643241637375491,-0.07325868295299097,0.045873024693468774,-0.14871980857374711,0.0022024426677651615,0.11026831900515122
