h,beta_L,beta_H,se_L,se_H,diff,se_diff,p_diff,n,beta_L_lo90,beta_L_hi90,beta_H_lo90,beta_H_hi90,diff_lo90,diff_hi90
21,0.2266170781084358,-0.5223215863050463,0.20795562543585214,0.6048362995562566,-0.7489386644134821,0.7816632528718912,0.3379948539161062,361,-0.11546992573354098,0.5687040819504126,-1.5172772990750885,0.4726341264649958,-2.0347747153877433,0.5368973865607789
22,0.17263877949593132,-0.3176430929677503,0.20605697307791948,0.5510739837271975,-0.4902818724636816,0.7197677458605088,0.495765970219578,360,-0.16632494121724622,0.5116025002091089,-1.22415979619899,0.5888736102634896,-1.6742998144042187,0.6937360694768554
23,0.14175603280815008,-0.2220469780809376,0.21448023104685127,0.5370078005246585,-0.3638030108890877,0.7115602695692494,0.6091584745818899,359,-0.21106394726392025,0.4945760128802204,-1.1054248099440007,0.6613308537821256,-1.534319654330503,0.8067136325523276
24,0.33719882979452787,-0.6538982354858004,0.21513890408422318,0.5598623283649167,-0.9910970652803283,0.7406350007556026,0.1808403545270134,358,-0.01670466742401927,0.691102327013075,-1.5748717656460882,0.26707529467448754,-2.2094416415232945,0.22724751096263807
25,0.5039219244986968,-1.0056553620028605,0.26792361356123046,0.687145069435046,-1.5095772865015573,0.9238461362746675,0.10225596417443761,357,0.06318758019047266,0.9446562688069209,-2.1360090012235116,0.12469827721779025,-3.0293041806733854,0.010149607670270733
26,0.42431247129251526,-0.8260141073500877,0.19570000238691165,0.5624178176024062,-1.250326578642603,0.7192275336148409,0.08213510931412782,356,0.1023859673660456,0.7462389752189849,-1.7511914173060459,0.09916320260587042,-2.4334558714390164,-0.06719728584618956
27,0.5225989758877796,-0.9882819469390183,0.18412601107043486,0.47860945956863765,-1.5108809228267979,0.6340702672360345,0.017180179890529113,355,0.21971168767691424,0.8254862640986449,-1.7755945079294273,-0.20096938594860936,-2.553926512430075,-0.467835333223521
28,0.4077084492733629,-0.573850288449173,0.20815931740422008,0.5109345123528038,-0.9815587377225359,0.6970468334067896,0.15908145998276346,354,0.06528637214342087,0.7501305264033049,-1.4143375612695352,0.2666369843711893,-2.128200778676705,0.165083303231633
29,0.25713755248675724,0.0060464504911306,0.22828429093521538,0.5601186496794804,-0.2510911019956266,0.7608737372512435,0.7413972126030242,353,-0.11839010610167205,0.6326652110751865,-0.9153487282316147,0.927441629213876,-1.5027283997739223,1.0005461957826691
30,0.20604455465694438,0.07595804151671715,0.21948571197663833,0.6433555660478287,-0.13008651314022723,0.8156819604560578,0.8732892133673174,352,-0.15500944154462565,0.5670985508585145,-0.9823618646319612,1.1342779476653955,-1.4718833380904424,1.2117103118099877
31,0.188534309580453,0.11516782413586486,0.2587451477788743,0.7253960859581654,-0.07336648544458814,0.9371646809535548,0.9376008836421668,351,-0.23710145851579525,0.6141700776767013,-1.0781087372653173,1.3084443855370471,-1.6150023856131857,1.4682694147240094
32,0.29367850487455305,0.03964821386947047,0.21734086419911228,0.6383086447144883,-0.25403029100508256,0.8159871188927342,0.7555599903477292,350,-0.06384721673298666,0.6512042264820928,-1.010369506685863,1.0896659344248039,-1.5963291015836303,1.0882685195734654
33,0.3912305606257378,-0.18554847827387877,0.2100654623583856,0.589076664729164,-0.5767790388996166,0.7634324196605312,0.449944439576174,349,0.045672875046193495,0.7367882462052822,-1.1545795917533535,0.783482635205596,-1.8326253692411905,0.6790672914419573
34,0.5049131647925966,-0.5332541192998654,0.2194711582989055,0.5425548603263032,-1.038167284092462,0.7376097645825367,0.15928659310910875,348,0.14388310939089705,0.8659432201942963,-1.425756864536634,0.3592486259369033,-2.251535346830735,0.17520077864581074
35,0.5032098168780009,-0.6687655831527454,0.23818902951252216,0.5824729016904301,-1.1719754000307463,0.800332553012518,0.1430954670362341,347,0.11138886332990194,0.8950307704260999,-1.6269335064335029,0.28940234012801214,-2.4885224497363385,0.14457164967484593
36,0.3938642647989151,-0.6877230044257737,0.22449637680921336,0.5990003826743211,-1.0815872692246888,0.7961705262891752,0.17430922100072976,346,0.024567724947759162,0.7631608046500711,-1.6730786339250319,0.29763262507348454,-2.391287784970382,0.2281132465210043
