horizon,q25_linear,q50_linear,q75_linear,q25_mlrf,q50_mlrf,q75_mlrf
22,0.001252878606919694,0.12827422300415492,0.09323702827191482,0.010068007670854313,0.007239612885280734,0.024532921006724235
23,0.011223578383123822,0.07016899157406442,0.13313553485795637,-0.004865178297673012,0.004013008436480713,0.017159245884006698
24,0.05395989267663026,0.2068171177588738,0.2314057578023494,-0.000743326580450732,-0.008256783279919218,0.0224728956902857
25,0.13110267852169954,0.10764468585256282,0.20507006776460912,0.01893352889535655,-0.00962203892471426,0.015830385262994573
26,0.13512498140417506,0.24928797723714524,0.20015481222071685,-0.046070539653100415,-0.0020584198141152784,0.016575154682742763
27,0.21116147449356504,0.15660132565244567,0.16694906270583942,-0.010504206980486932,0.0030442181712298567,0.02088944068510858
28,0.19215642361393748,0.13530075549238063,0.33806665733845875,-0.008632954222004975,0.000987036542419835,0.01767729526916847
29,0.1818105908096186,0.15891072685735708,0.26745522239298225,-0.02427874626050334,-0.01362258874631668,0.022337697533321682
30,0.13827551621034218,0.22777085321530421,0.29970975813193945,-0.013237028160166637,-0.004730366148818427,0.008142932858552167
31,0.22741263433789527,0.2138271196158712,0.37291909426858183,0.002850376571894382,0.0015900862475212894,0.011918762128017584
32,0.24510803101111378,0.1971423536479051,0.33417564984119963,0.013346785805793194,0.0005173024544969767,0.00841290909517037
33,0.23247330290632817,0.20090238089323975,0.29300015488479403,0.016367649459406643,0.005411162673418233,0.005766192484250796
34,0.2793594926484957,0.22481899594504284,0.2886770219884056,8.789974854587381e-05,0.0005533721449721095,0.011256740463828276
35,0.4136620622928149,0.28015473795983326,0.22424738599750071,0.0038883427918898366,0.005140046820035277,-0.00035998982104909705
36,0.3313232428547508,0.17742677826754516,0.22622701669843082,-0.0022009777423432127,0.0063745498610877265,-0.004974523507762396
37,0.2678318880753068,0.265841410009898,0.20829262345341704,-0.006672193957791492,-0.001960145891335502,-0.005651823903330019
38,0.17815875927408342,0.19926458621216625,0.20272291945002507,-0.026076472464957708,-0.01449667546834958,-0.015486745576258454
39,0.1832773767374647,0.12950898029157543,0.20409588676557178,-0.024485920385980006,-0.016782845695881256,-0.015199427244442697
40,0.1061548318880341,0.12592943588151684,0.23660764023156844,-0.04967110346560474,-0.02909235072132386,-0.02344080398573163
41,0.06461937270796625,0.046503366988872585,0.136510490647197,-0.05907080481324563,-0.04802072918379221,-0.015287472590106755
42,0.07370947647723369,-0.0042977694790238274,0.14869553286916926,-0.033978022324472355,-0.04267220050249626,-0.020401988113976387
43,0.1955334324954947,0.061700015572341727,0.13661405249240488,-0.0208892336732482,-0.012208307128847577,-0.011781529890106083
44,0.14018744648865322,-0.01743398651433381,0.1338751002040226,-0.03760671503835846,-0.04021263108683585,-0.032189805638712515
45,0.07839540333407058,-0.07100517635279857,0.11150107780576946,-0.0350515623070663,-0.019555113571017517,-0.018487661398119262
46,0.06736576049297582,-0.02100380679422642,0.04286583031353075,-0.05569713920909832,-0.01971380688623555,-0.010723150409739535
47,0.14815263928721834,0.12262570152779517,-0.0002907941561716143,-0.06497783404380623,-0.030748142517873674,-0.009325786999002448
48,0.006277471846033222,0.08424634174298262,-0.05382608216018525,-0.03997088721487577,-0.015478865569846689,-0.0016142129668998344
