date,coef,se
1998-12-31,-0.16297197991480694,0.05662557612316895
1999-01-31,-0.17866995069089875,0.05279524358807314
1999-02-28,-0.19353344719021812,0.04655954434616271
1999-03-31,-0.1846837373257259,0.04733144675966835
1999-04-30,-0.26254434151189826,0.06336238317814792
1999-05-31,-0.2192776758481275,0.07099421767228907
1999-06-30,-0.25915979409200357,0.05946137255399518
1999-07-31,-0.24764308403050908,0.05223246120074214
1999-08-31,-0.24229794259105286,0.051275639188355766
1999-09-30,-0.2411659196446361,0.04990459062385965
1999-10-31,-0.23373059262828988,0.052577086577634144
1999-11-30,-0.2437773462852049,0.05754821221118955
1999-12-31,-0.24665282177718056,0.06504212994621639
2000-01-31,-0.24787936977732342,0.06697586141356214
2000-02-29,-0.223232202619948,0.07057013322998368
2000-03-31,-0.23008618725741878,0.07255466127400406
2000-04-30,-0.2410929008660678,0.07183707688764826
2000-05-31,-0.23556026519997744,0.0716758727847278
2000-06-30,-0.23124806504261422,0.06854389145834891
2000-07-31,-0.2223843362753719,0.06576929065862187
2000-08-31,-0.23668134745245434,0.06744974866802303
2000-09-30,-0.23127832656338787,0.06997288171935208
2000-10-31,-0.22343232058423335,0.07036587396774367
2000-11-30,-0.23520902175584765,0.07094074080372778
2000-12-31,-0.2419832649603035,0.06634859159692243
2001-01-31,-0.24525603130321585,0.06589066778237501
2001-02-28,-0.24829328094296832,0.06474092417556004
2001-03-31,-0.26800404072427186,0.06085318484143256
2001-04-30,-0.2518917461260005,0.06294690344537278
2001-05-31,-0.22261624100195931,0.06494840091138118
2001-06-30,-0.1975447814887188,0.06947846741327593
2001-07-31,-0.21813629005042534,0.062053771437291134
2001-08-31,-0.2041027574951406,0.05385720194328223
2001-09-30,-0.2217214180067759,0.05780583434119981
2001-10-31,-0.21725004627286498,0.059083247238652555
2001-11-30,-0.2155697704773514,0.05446781175594605
2001-12-31,-0.2204454902259004,0.05594695776970388
2002-01-31,-0.2149812682572298,0.05591719689857156
2002-02-28,-0.2116504658232194,0.055870819803948826
2002-03-31,-0.20627461458317167,0.054906251269328826
2002-04-30,-0.21458004158537342,0.05754357212015691
2002-05-31,-0.19640972460555967,0.05753987900505387
2002-06-30,-0.1929281918282896,0.0585254564975458
2002-07-31,-0.1860900418026294,0.059171604337501627
2002-08-31,-0.18392144195093577,0.061626312975854844
2002-09-30,-0.17697217885526367,0.06960266040129888
2002-10-31,-0.16742116672519822,0.06974984224023349
2002-11-30,-0.19485732573266898,0.07824649413908209
2002-12-31,-0.18305448924397075,0.07441729343653293
2003-01-31,-0.1845164679213231,0.07324072348748939
2003-02-28,-0.15388658617028517,0.08264570050555248
2003-03-31,-0.134695220808642,0.07663383954607655
2003-04-30,-0.1338188893718001,0.07757434769387234
2003-05-31,-0.1350641989578189,0.0790845883950863
2003-06-30,-0.15948348314099858,0.08350852359723195
2003-07-31,-0.1475263234711223,0.08273894279675371
2003-08-31,-0.13522094964945536,0.08357247704670318
