h,coef,se,lo90,hi90,lo95,hi95
34,0.30533585628381843,0.10525022854376997,0.13219923032931682,0.47847248223832006,0.09904540833802927,0.5116263042296076
35,0.2848623950071669,0.1079844873294635,0.10722791335019946,0.4624968766641344,0.07321279984141846,0.49651199017291536
36,0.20195927417171333,0.10023549421759889,0.03707188618376314,0.36684666215966355,0.005497705505219497,0.39842084283820717
37,0.2134942092775418,0.09626613635231157,0.05513641497798927,0.37185200357709436,0.024812582027011143,0.4021758365280725
38,0.17770519860914646,0.09860646582136434,0.015497562333002118,0.3399128348852908,-0.01556347440072764,0.37097387161902057
39,0.18034801644898835,0.10719638492035974,0.004009963254996585,0.3566860696429801,-0.029756897994916737,0.39045293089289346
40,0.13568976108717834,0.10879285982965912,-0.043274493332610936,0.3146540155069676,-0.07754424417895353,0.34892376635331024
41,0.07936799922345017,0.10626285832098133,-0.0954344027145641,0.25417040116146444,-0.12890720308567322,0.28764320153257356
42,0.11139559867478965,0.10384722650835307,-0.059433088931451133,0.28222428628103047,-0.09214496528158236,0.31493616263116164
43,0.11258150529238264,0.10165869770080835,-0.054647052425447096,0.2798100630102124,-0.08666954220120171,0.311832552785967
44,0.12553557914861813,0.10301848555708781,-0.04392982959279132,0.2950009878900276,-0.07638065254327397,0.3274518108405102
45,0.10224667155489442,0.10661187421652249,-0.07312986153128509,0.27762320464107393,-0.10671260190948967,0.3112059450192785
46,0.08604723328880937,0.10059982045867674,-0.07943947136571389,0.2515339379433326,-0.11112841481019706,0.2832228813878158
47,0.09955501398781053,0.10003702278889501,-0.06500588849992175,0.2641159164755428,-0.09651755067842369,0.29562757865404476
48,0.055519152160741214,0.10762609681710113,-0.12152577710339013,0.23256408142487256,-0.155427997600777,0.2664663019222594
