,ea_gpr,ea_gpr_diff
2006-07-01,1.56522626184448,0.5452560813834091
2006-08-01,1.8318595336638286,0.2666332718193485
2006-09-01,1.1769543016251316,-0.654905232038697
2006-10-01,1.2566814512056523,0.07972714958052074
2006-11-01,1.1785530736315875,-0.07812837757406488
2006-12-01,1.0579530864600097,-0.12059998717157772
2007-01-01,1.074525862402309,0.016572775942299334
2007-02-01,1.178271247452925,0.10374538505061603
2007-03-01,1.104923131466133,-0.07334811598679214
2007-04-01,1.074292330664895,-0.030630800801237923
2007-05-01,1.0178629639009222,-0.05642936676397281
2007-06-01,0.9665731069574564,-0.051289856943465884
2007-07-01,1.157231907083109,0.19065880012565262
2007-08-01,1.0366920846793053,-0.12053982240380368
2007-09-01,1.263903212949477,0.22721112827017165
2007-10-01,1.178144250255854,-0.08575896269362304
2007-11-01,0.9446971031197021,-0.23344714713615178
2007-12-01,0.9696639483668599,0.024966845247157754
2008-01-01,0.9490833590569654,-0.02058058930989448
2008-02-01,1.007512480550302,0.05842912149333657
2008-03-01,1.0068115913808342,-0.0007008891694677555
2008-04-01,0.8613529851062414,-0.14545860627459284
2008-05-01,0.9251983636330842,0.0638453785268428
2008-06-01,1.022221261950298,0.09702289831721378
2008-07-01,1.0059284201904228,-0.01629284175987511
2008-08-01,1.239152684937902,0.23322426474747915
2008-09-01,1.020683394097856,-0.21846929084004607
2008-10-01,0.7872233235097115,-0.23346007058814444
2008-11-01,0.9411444534579383,0.15392112994822682
2008-12-01,1.0415964893468952,0.1004520358889569
2009-01-01,1.338748259454106,0.29715177010721083
2009-02-01,0.9458642660453515,-0.3928839934087546
2009-03-01,0.8563987097858088,-0.08946555625954267
2009-04-01,1.0713805934594625,0.21498188367365367
2009-05-01,1.1025683963575494,0.03118780289808698
2009-06-01,0.95390176110951,-0.14866663524803947
2009-07-01,0.9930820695745328,0.03918030846502285
2009-08-01,1.0109278269535293,0.01784575737899652
2009-09-01,0.9784715336251947,-0.03245629332833466
2009-10-01,0.9772581483490057,-0.0012133852761889719
2009-11-01,0.8922113494409308,-0.08504679890807487
2009-12-01,0.8915032599626196,-0.0007080894783112468
2010-01-01,1.0,0.10849674003738041
2010-02-01,1.1124871245765378,0.11248712457653776
2010-03-01,0.819617065251449,-0.2928700593250888
2010-04-01,0.9973809594800698,0.17776389422862082
2010-05-01,0.8966614725024467,-0.10071948697762312
2010-06-01,1.0607888969750041,0.16412742447255746
2010-07-01,0.893430409194683,-0.16735848778032114
2010-08-01,0.9783905268144548,0.08496011761977185
2010-09-01,0.860272872838405,-0.11811765397604979
2010-10-01,0.8438505180106813,-0.016422354827723695
2010-11-01,0.8842270169087662,0.04037649889808481
2010-12-01,0.8853927182332697,0.0011657013245035541
2011-01-01,0.9063836269932678,0.020990908759998095
2011-02-01,1.0873005499422383,0.18091692294897055
2011-03-01,1.8801560618398194,0.7928555118975811
2011-04-01,1.3831875144515453,-0.4969685473882741
2011-05-01,1.1794573680863194,-0.2037301463652259
2011-06-01,1.0461221470910906,-0.13333522099522876
2011-07-01,0.9646625907711102,-0.08145955631998048
2011-08-01,1.3723915421002357,0.40772895132912557
2011-09-01,1.039328961405499,-0.3330625806947367
2011-10-01,0.9363467912503942,-0.1029821701551048
2011-11-01,1.0487135593039771,0.11236676805358292
2011-12-01,1.0202254527849042,-0.028488106519072964
2012-01-01,1.0756464860336827,0.05542103324877856
2012-02-01,1.095472759038136,0.019826273004453165
2012-03-01,1.0537731382988524,-0.04169962073928346
2012-04-01,1.1326203218644593,0.07884718356560683
2012-05-01,0.8602007380338468,-0.2724195838306125
