,gpr,gpr_threats,gpr_acts
1995-10-01,31.320462311034575,23.438924557782762,65.70466879700514
1995-11-01,28.986957687541597,24.066384432858705,51.04710483358059
1995-12-01,26.972136800825197,24.35976283376258,38.38297431565961
1996-01-01,39.61108192788544,36.58956551147748,54.69655065577499
1996-02-01,37.60673121025772,38.615232973761835,34.03189693497862
1996-03-01,52.79697081549155,49.67482522070381,64.17264982560836
1996-04-01,44.93639870856679,39.82582242493062,66.63971411073393
1996-05-01,28.512149757424783,27.390657934583235,32.75898906640195
1996-06-01,30.90101241248163,26.732510776301233,49.313144988674566
1996-07-01,49.858094827579144,38.255583764221846,104.61508870125394
1996-08-01,40.14048082790948,32.01014805123451,79.47721790920528
1996-09-01,58.797266325800216,59.64838635704901,58.94052250104501
1996-10-01,30.04643462347208,30.195302145366696,26.587630421961972
1996-11-01,35.6896758572075,38.16762697672186,20.703805950059383
1996-12-01,37.4543800688198,36.79268294976815,38.836393587320515
1997-01-01,23.74402800730554,20.268845101716227,39.6459725836582
1997-02-01,29.412195790948086,29.896510111648805,26.17059277388042
1997-03-01,37.521161023535235,36.83723425399593,37.31359206960726
1997-04-01,29.16702055201421,29.348440589856434,27.14291785938151
1997-05-01,30.95967961938323,27.999661043608643,42.11288142809391
1997-06-01,28.899902806853966,28.1888812210826,31.25598905520211
1997-07-01,27.86493002190059,27.413929459253843,27.441743127242198
1997-08-01,30.12895208792144,24.84068696495463,57.124341589787655
1997-09-01,25.523245168534324,22.737098633723065,37.93361212546996
1997-10-01,26.93405494135943,24.32536937536865,38.32878153721715
1997-11-01,73.09467262273853,77.38028488177255,54.372351288828405
1997-12-01,34.40233991840381,35.153844409434264,29.324592377163945
1998-01-01,54.34750141684946,58.90043884464615,30.935906434218985
1998-02-01,154.6564240542353,168.20684573314773,97.56024506205469
1998-03-01,43.17331595955115,44.838159694768216,34.33002308559899
1998-04-01,32.70029260288807,31.776645192194476,34.067935456809124
1998-05-01,61.35071096086895,63.26401463909521,48.13973013739424
1998-06-01,52.458652551292516,58.432612309132196,20.9025097249861
1998-07-01,33.63372492268562,36.18465768529013,18.491390076111973
1998-08-01,75.5845893755589,70.1218878862465,118.49548387823062
1998-09-01,61.37923034601872,62.67315758122537,57.39007033365313
1998-10-01,72.33920210489583,66.02204716104623,103.03353859042474
1998-11-01,81.031915905258,87.46429976847932,49.36655623275447
1998-12-01,85.06148162245142,91.1631636841715,56.48888411358969
1999-01-01,45.52457022967715,46.51903511378033,41.42969958091797
1999-02-01,48.43132885151045,50.28750500723426,36.97706523620808
1999-03-01,63.581089818232016,66.24114370835417,62.312988546116955
1999-04-01,64.45479499763633,62.77546466040971,69.72589961108737
1999-05-01,50.48517814238793,45.05544605487169,76.29051683305998
1999-06-01,39.43267327372312,33.284268798686426,64.88048715723683
1999-07-01,49.80799569182463,49.36717656438178,48.956496566098686
1999-08-01,44.50495183510972,44.81137459484435,40.670201047191526
1999-09-01,60.617956419773996,50.16510682757879,109.44513566148277
1999-10-01,42.218420233853685,40.51785603182993,49.37842707909809
1999-11-01,35.79381963514025,33.52774370830745,44.82434882623608
1999-12-01,62.04187748283568,55.74577503517128,98.17077220062829
2000-01-01,40.57139164497867,37.39029771892161,56.75280012671703
2000-02-01,34.39467622049372,31.01118820703045,47.23465195258337
2000-03-01,54.096563286030594,52.90793276879677,56.234716420538646
2000-04-01,35.759766194766776,34.7869587776439,37.07925086408411
2000-05-01,34.145592654043504,33.21669715693673,36.944886895744816
2000-06-01,43.98706580607019,45.09109087988875,39.47151599770858
2000-07-01,32.06197092931246,30.24582264032636,37.70700816225303
2000-08-01,27.21366695240321,22.611667717593733,46.4720235129632
2000-09-01,35.39438865670312,35.582765109805884,31.258444989922175
2000-10-01,55.48228460526901,55.9910867637435,49.44396046886202
2000-11-01,27.436638998630485,27.462918215323427,29.172489823272553
2000-12-01,31.505770982126563,33.424658692627304,22.803951417874174
2001-01-01,35.447234605943024,35.10705470409071,35.341526252660486
2001-02-01,56.17806313669481,53.368942471091806,72.54987478893631
2001-03-01,39.56030547917154,38.9992613592968,41.443029372952
2001-04-01,45.28362367749711,47.32015250563283,34.655111179953025
2001-05-01,35.83905336879974,36.578031052661125,29.059636864575168
2001-06-01,47.49133660708418,48.80766561298635,38.45241409809731
2001-07-01,35.40467773647633,34.83814906100846,38.003167852130105
2001-08-01,33.34419500943439,29.150989196172784,51.67391763548792
2001-09-01,307.6768840432676,290.5625583309833,410.94154240602705
2001-10-01,357.80326028252205,335.66069487451796,497.11830045876553
2001-11-01,195.39406850436646,168.4479351680077,350.3524772973644
2001-12-01,163.48624779216945,139.36430594617198,290.5883191272152
2002-01-01,123.42986643910811,114.44779316039015,179.80633071011172
2002-02-01,112.15319637414203,112.3935632556198,115.35564730207714
2002-03-01,129.9303400623677,130.94682156212838,122.03313893502468
2002-04-01,123.92932936972268,120.3094089622418,140.6136700165731
2002-05-01,155.46328379048907,159.5773213321841,155.91345012878796
2002-06-01,177.94495333310735,191.58661893096823,125.3470582917475
2002-07-01,110.26569492260549,103.18756777581739,146.49168151072195
2002-08-01,139.539295870904,150.0895288975101,81.67773177991342
2002-09-01,315.3179970345795,356.6297009450794,108.40609550404581
2002-10-01,268.52354378649557,289.9846211817744,174.43408208022873
2002-11-01,214.31068713931555,232.34862212204283,119.60402689419935
2002-12-01,213.2282173709163,236.9607887068033,95.87304995025407
2003-01-01,328.5568827262321,377.2893878702561,75.63409478959018
2003-02-01,520.048014165973,602.3690913121793,112.03961186686786
2003-03-01,545.2631586245295,570.0645662055887,436.51617413856945
2003-04-01,257.41418452869397,213.3554861555832,473.54652877637034
2003-05-01,142.26643569548418,137.02234720004694,168.4036790477236
2003-06-01,104.47336355588888,101.90301523593675,114.68974012541113
2003-07-01,85.80819115979126,83.19676143388874,97.9354889899396
2003-08-01,96.15479637681115,92.42339229472478,106.52005558395517
2003-09-01,88.97536144904002,90.19309027340786,84.06781865492994
2003-10-01,74.79797431611802,70.22909722258022,100.55640250208242
2003-11-01,77.1474803514895,74.45313791624218,90.20335870301052
2003-12-01,120.23376709720921,120.61685414944783,123.19191959024589
2004-01-01,92.57396158065069,92.75458398065959,87.69043045825367
2004-02-01,82.68331862560942,83.8345432034046,77.39980486004964
