date,year_month,cny_vol,cny_mean,cny_obs
1998-01-01,1998-01,0.006238896994496977,8.309445,20
1998-02-01,1998-02,0.023461938705222063,8.307173684210525,19
1998-03-01,1998-03,0.02210775343016478,8.307595454545455,22
1998-04-01,1998-04,0.02834392363239814,8.3058,22
1998-05-01,1998-05,0.019933457263496657,8.308395,20
1998-06-01,1998-06,0.0,8.31,22
1998-07-01,1998-07,0.0,8.31,23
1998-08-01,1998-08,0.0,8.31,21
1998-09-01,1998-09,0.013233750849739621,8.305452380952381,21
1998-10-01,1998-10,0.0003371278093324294,8.2778,21
1998-11-01,1998-11,0.0004171187181987528,8.277821052631579,19
1998-12-01,1998-12,0.00038071740712437114,8.27795,22
1999-01-01,1999-01,0.000475364546601716,8.27892105263158,19
1999-02-01,1999-02,0.000512212659978475,8.278136842105264,19
1999-03-01,1999-03,0.0004967404673598035,8.279152173913044,23
1999-04-01,1999-04,0.000590922136066033,8.279186363636363,22
1999-05-01,1999-05,0.0007027732522980875,8.278535,20
1999-06-01,1999-06,0.0006938917422975599,8.277986363636364,22
1999-07-01,1999-07,0.0004178611386431057,8.2776,21
1999-08-01,1999-08,0.00040849810003885234,8.277245454545454,22
1999-09-01,1999-09,0.00031789537190139955,8.277447619047619,21
1999-10-01,1999-10,0.0007175755684173089,8.27749,20
1999-11-01,1999-11,0.0002525257356663576,8.278225,20
1999-12-01,1999-12,0.0003331908792146863,8.279352173913043,23
2000-01-01,2000-01,0.0005126110346893732,8.279215,20
2000-02-01,2000-02,0.0007807610674127422,8.27812,20
2000-03-01,2000-03,0.0005824192534310179,8.278560869565217,23
2000-04-01,2000-04,0.0006797565214967616,8.279285,20
2000-05-01,2000-05,0.0006024753223063957,8.2781,22
2000-06-01,2000-06,0.0004128560522668267,8.277209090909091,22
2000-07-01,2000-07,0.0005476444347409749,8.27936,20
2000-08-01,2000-08,0.0008220851339974209,8.279569565217392,23
2000-09-01,2000-09,0.0011188479561902432,8.278545,20
2000-10-01,2000-10,0.0006528264961646554,8.278461904761905,21
2000-11-01,2000-11,0.0008357439215197671,8.27737142857143,21
2000-12-01,2000-12,0.0008936528996152699,8.277145,20
2001-01-01,2001-01,0.001049251819775704,8.277609523809524,21
2001-02-01,2001-02,0.0009839610936645063,8.277057894736842,19
2001-03-01,2001-03,0.0007697928954477757,8.277531818181819,22
2001-04-01,2001-04,0.0005262301025958252,8.277104761904761,21
2001-05-01,2001-05,0.0037332220686138824,8.276977272727272,22
2001-06-01,2001-06,0.0008980772875864485,8.277038095238096,21
2001-07-01,2001-07,0.0003943922960674424,8.276890476190475,21
2001-08-01,2001-08,0.00042288132413023486,8.27696956521739,23
2001-09-01,2001-09,0.00032543266333844907,8.276805555555555,18
2001-10-01,2001-10,0.0002511181485218726,8.27680909090909,22
2001-11-01,2001-11,0.0002535256633940342,8.276895,20
2001-12-01,2001-12,0.0057358312324563305,8.276399999999999,20
2002-01-01,2002-01,0.001955070922208214,8.27712380952381,21
2002-02-01,2002-02,0.0002476096728655332,8.276673684210527,19
2002-03-01,2002-03,0.0018833102017359704,8.277261904761904,21
2002-04-01,2002-04,0.0005175748002064869,8.277231818181818,22
2002-05-01,2002-05,0.0002810362923927152,8.277009090909091,22
2002-06-01,2002-06,0.004426868623214375,8.2767,20
2002-07-01,2002-07,0.00022644257940153376,8.276813636363636,22
2002-08-01,2002-08,0.0002474481813805243,8.27671818181818,22
2002-09-01,2002-09,0.0002573137081663403,8.277025,20
2002-10-01,2002-10,0.00020753870255845762,8.277149999999999,22
2002-11-01,2002-11,0.0002627656809011976,8.277168421052632,19
2002-12-01,2002-12,0.0019528109290351174,8.277709523809524,21
2003-01-01,2003-01,0.0036066940752275045,8.277457142857141,21
2003-02-01,2003-02,0.0019273526306421852,8.27798947368421,19
2003-03-01,2003-03,0.000340253842171657,8.277285714285714,21
2003-04-01,2003-04,0.00025316021287926494,8.277154545454545,22
2003-05-01,2003-05,0.00022923644955426587,8.276919047619046,21
2003-06-01,2003-06,0.00037127998744791176,8.277104761904761,21
2003-07-01,2003-07,0.00034969133381456893,8.27729090909091,22
2003-08-01,2003-08,0.0003203767439139576,8.277038095238096,21
2003-09-01,2003-09,0.0003061172628159305,8.277166666666668,21
2003-10-01,2003-10,0.0005916705252434597,8.276822727272728,22
2003-11-01,2003-11,0.00023309857961074668,8.276911111111112,18
2003-12-01,2003-12,0.0003516418814796403,8.276972727272728,22
2004-01-01,2004-01,0.000244785192731254,8.276990000000001,20
2004-02-01,2004-02,0.0002257875266460725,8.277126315789474,19
2004-03-01,2004-03,0.0004888949559394765,8.27705652173913,23
2004-04-01,2004-04,0.00021728721085022447,8.276918181818182,22
2004-05-01,2004-05,0.0002632628245618366,8.27707,20
2004-06-01,2004-06,0.00014851166938827296,8.27665909090909,22
2004-07-01,2004-07,0.0001637111659296753,8.276733333333333,21
2004-08-01,2004-08,0.00013620543361906682,8.2768,22
2004-09-01,2004-09,0.00016046948222737066,8.276652380952381,21
2004-10-01,2004-10,0.00016463892536961347,8.276545,20
2004-11-01,2004-11,0.00011600349105155657,8.276485000000001,20
2004-12-01,2004-12,0.0001156596721244864,8.276508695652174,23
2005-01-01,2005-01,0.0,8.2765,20
2005-02-01,2005-02,0.0,8.2765,19
2005-03-01,2005-03,0.0,8.2765,23
2005-04-01,2005-04,0.0,8.2765,21
2005-05-01,2005-05,0.0,8.2765,21
2005-06-01,2005-06,0.0,8.2765,22
2005-07-01,2005-07,0.07158188433668321,8.226405,20
2005-08-01,2005-08,0.005260609942048363,8.101678260869564,23
2005-09-01,2005-09,0.004495222422180591,8.0919,22
2005-10-01,2005-10,0.0034639251579824553,8.089535000000001,20
2005-11-01,2005-11,0.002638863912502422,8.083985,20
2005-12-01,2005-12,0.003039167233005015,8.075533333333333,21
2006-01-01,2006-01,0.006492819781925141,8.065365,20
2006-02-01,2006-02,0.004308571578733662,8.051242105263158,19
2006-03-01,2006-03,0.010044106779826239,8.035026086956522,23
2006-04-01,2006-04,0.011221628030718406,8.01434,20
2006-05-01,2006-05,0.009205654329702195,8.013095454545454,22
2006-06-01,2006-06,0.011074060784865484,8.004186363636363,22
2006-07-01,2006-07,0.009521558699183698,7.989695,20
2006-08-01,2006-08,0.01555665948477999,7.972178260869565,23
2006-09-01,2006-09,0.01169103908820484,7.93341,20
2006-10-01,2006-10,0.013420443238958961,7.901761904761905,21
2006-11-01,2006-11,0.013038380475494066,7.862242857142857,21
2006-12-01,2006-12,0.010916718584292143,7.821925,20
2007-01-01,2007-01,0.011938610221157015,7.78762380952381,21
2007-02-01,2007-02,0.013343017563761897,7.750205263157894,19
2007-03-01,2007-03,0.01148232885232239,7.736945454545455,22
2007-04-01,2007-04,0.016191364977021762,7.724714285714286,21
2007-05-01,2007-05,0.015497035310844587,7.67725,22
2007-06-01,2007-06,0.018022880163022597,7.633290476190477,21
2007-07-01,2007-07,0.01785470950258871,7.575685714285715,21
2007-08-01,2007-08,0.024318829660791505,7.573352173913043,23
2007-09-01,2007-09,0.018016257347756248,7.520975,20
2007-10-01,2007-10,0.0203479738387863,7.501917391304349,23
2007-11-01,2007-11,0.015248126579892999,7.420971428571428,21
2007-12-01,2007-12,0.02745711965346232,7.368165,20
2008-01-01,2008-01,0.020863361248364364,7.240452380952381,21
2008-02-01,2008-02,0.02625274068387617,7.164425,20
2008-03-01,2008-03,0.0152665237649149,7.072242857142857,21
2008-04-01,2008-04,0.02199637547489523,6.999690909090909,22
2008-05-01,2008-05,0.018423098790587015,6.972495238095239,21
2008-06-01,2008-06,0.023824469136986916,6.899328571428571,21
2008-07-01,2008-07,0.02387650075214549,6.835513636363637,22
2008-08-01,2008-08,0.04530319107460641,6.846190476190476,21
2008-09-01,2008-09,0.06177707114999486,6.830738095238096,21
2008-10-01,2008-10,0.034459845332090795,6.835750000000001,22
2008-11-01,2008-11,0.009241584586743755,6.828055555555555,18
2008-12-01,2008-12,0.03464126136313809,6.853890909090908,22
2009-01-01,2009-01,0.005863316336541196,6.836029999999999,20
2009-02-01,2009-02,0.013067604345888712,6.836289473684211,19
2009-03-01,2009-03,0.008235494081492649,6.835999999999999,22
2009-04-01,2009-04,0.006121547072562757,6.830604545454546,22
2009-05-01,2009-05,0.007994377306036946,6.823480000000001,20
2009-06-01,2009-06,0.005934509833979809,6.833422727272727,22
2009-07-01,2009-07,0.002516375678464619,6.831691304347825,23
2009-08-01,2009-08,0.0027892719527909883,6.8322666666666665,21
2009-09-01,2009-09,0.003440099219166137,6.827671428571429,21
2009-10-01,2009-10,0.0023029305325823588,6.826671428571428,21
2009-11-01,2009-11,0.002411807902759922,6.827063157894737,19
2009-12-01,2009-12,0.003596564309869005,6.827454545454546,22
2010-01-01,2010-01,0.0029054508035308516,6.826915789473684,19
2010-02-01,2010-02,0.004119789735706269,6.8284631578947375,19
2010-03-01,2010-03,0.001047083573411227,6.826182608695651,23
2010-04-01,2010-04,0.0025221596393500915,6.825550000000001,22
2010-05-01,2010-05,0.0030518660795519677,6.827450000000001,20
2010-06-01,2010-06,0.0205915110478059,6.818440909090909,22
2010-07-01,2010-07,0.008801488675777147,6.776233333333334,21
2010-08-01,2010-08,0.012290993861579143,6.787286363636364,22
2010-09-01,2010-09,0.014344244003100293,6.739647619047619,21
2010-10-01,2010-10,0.021342258429532683,6.667789999999999,20
2010-11-01,2010-11,0.0316159592919915,6.65381,20
2010-12-01,2010-12,0.025010322294201807,6.649685714285714,21
2011-01-01,2011-01,0.034356057027000925,6.596415,20
2011-02-01,2011-02,0.03347732131947103,6.576126315789473,19
2011-03-01,2011-03,0.01783925466584995,6.564460869565217,23
2011-04-01,2011-04,0.026440503094209748,6.526685714285714,21
2011-05-01,2011-05,0.015160260413017424,6.495680952380953,21
2011-06-01,2011-06,0.012330241172825933,6.47455,22
2011-07-01,2011-07,0.010419073964429463,6.457535,20
2011-08-01,2011-08,0.017155761078109632,6.403604347826088,23
2011-09-01,2011-09,0.01697437112364057,6.388457142857143,21
2011-10-01,2011-10,0.021810911400613562,6.370955,20
2011-11-01,2011-11,0.018497995299905447,6.3564099999999994,20
2011-12-01,2011-12,0.022895755461532958,6.3482095238095235,21
2012-01-01,2012-01,0.01966237071734684,6.31717,20
2012-02-01,2012-02,0.011283599042728246,6.29969,20
2012-03-01,2012-03,0.020044003035262402,6.312481818181817,22
2012-04-01,2012-04,0.02274536961538309,6.304328571428571,21
2012-05-01,2012-05,0.01961741518536427,6.3242045454545455,22
2012-06-01,2012-06,0.010462691591270945,6.363257142857143,21
2012-07-01,2012-07,0.016008296176421365,6.371742857142857,21
2012-08-01,2012-08,0.009529221955553151,6.359278260869565,23
2012-09-01,2012-09,0.01518519030075226,6.32,19
2012-10-01,2012-10,0.011826220997781817,6.262731818181819,22
2012-11-01,2012-11,0.013335861042617433,6.23375,20
2012-12-01,2012-12,0.01690836474465938,6.232815,20
2013-01-01,2013-01,0.008627900418562059,6.221519047619048,21
2013-02-01,2013-02,0.011934217577807776,6.232268421052631,19
2013-03-01,2013-03,0.006762029240291609,6.215438095238095,21
2013-04-01,2013-04,0.012473708002265016,6.186109090909091,22
2013-05-01,2013-05,0.018060551219458435,6.141631818181819,22
2013-06-01,2013-06,0.012550503769716633,6.13415,20
2013-07-01,2013-07,0.007393292028109546,6.13425,22
2013-08-01,2013-08,0.007587647033957562,6.121263636363636,22
2013-09-01,2013-09,0.0028068914243966044,6.119815,20
2013-10-01,2013-10,0.012687791403604851,6.103213636363637,22
2013-11-01,2013-11,0.004857063218589556,6.092931578947368,19
2013-12-01,2013-12,0.01313500355179062,6.0738,21
2014-01-01,2014-01,0.010691928658747584,6.050938095238095,21
2014-02-01,2014-02,0.01814720118488895,6.0816,19
2014-03-01,2014-03,0.03495421194722551,6.172876190476191,21
2014-04-01,2014-04,0.016045912763051846,6.224613636363636,22
2014-05-01,2014-05,0.021557373856181217,6.237957142857143,21
2014-06-01,2014-06,0.020312782703526405,6.230604761904762,21
2014-07-01,2014-07,0.011849961763748453,6.198436363636364,22
2014-08-01,2014-08,0.013948435418460595,6.15412857142857,21
2014-09-01,2014-09,0.01886218891110979,6.138228571428571,21
2014-10-01,2014-10,0.006487582731801101,6.125050000000001,22
2014-11-01,2014-11,0.015227416228249543,6.124894444444444,18
2014-12-01,2014-12,0.025033793932508607,6.188628571428571,21
2015-01-01,2015-01,0.026160114248896856,6.218135,20
2015-02-01,2015-02,0.016361161063122482,6.2518473684210525,19
2015-03-01,2015-03,0.02478362175153404,6.238604545454546,22
2015-04-01,2015-04,0.02033947573162459,6.200995454545454,22
2015-05-01,2015-05,0.010206820438898631,6.20345,20
2015-06-01,2015-06,0.005855477661150749,6.2052,22
2015-07-01,2015-07,0.0034649961197587287,6.20845,22
2015-08-01,2015-08,0.07239813114649438,6.3382523809523805,21
2015-09-01,2015-09,0.01661797128506929,6.3676047619047615,21
2015-10-01,2015-10,0.024065185692439324,6.3505,21
2015-11-01,2015-11,0.030162476105171285,6.364036842105262,19
2015-12-01,2015-12,0.018400452794190558,6.449095454545454,22
2016-01-01,2016-01,0.04581462078390484,6.5726,19
2016-02-01,2016-02,0.034550524990222334,6.550050000000001,20
2016-03-01,2016-03,0.03962278049013159,6.5026913043478265,23
2016-04-01,2016-04,0.029609831840182534,6.475433333333334,21
2016-05-01,2016-05,0.02702838776893345,6.525880952380952,21
2016-06-01,2016-06,0.03663520265973562,6.589222727272727,22
2016-07-01,2016-07,0.025650968642494085,6.677105,20
2016-08-01,2016-08,0.025722899543800356,6.646573913043477,23
2016-09-01,2016-09,0.014889365965436743,6.670180952380953,21
2016-10-01,2016-10,0.02952771024033196,6.73031,20
2016-11-01,2016-11,0.03845802514321104,6.84016,20
2016-12-01,2016-12,0.02734469163024664,6.919752380952381,21
2017-01-01,2017-01,0.05765871992432085,6.890663157894736,19
2017-02-01,2017-02,0.024834550138912153,6.869426315789474,19
2017-03-01,2017-03,0.0196323406002746,6.894,23
2017-04-01,2017-04,0.011591784291393634,6.887555000000001,20
2017-05-01,2017-05,0.02594911633955997,6.884304545454546,22
2017-06-01,2017-06,0.02260690738300128,6.806563636363635,22
2017-07-01,2017-07,0.023632397091619604,6.769425,20
2017-08-01,2017-08,0.03315952915450042,6.666995652173913,23
2017-09-01,2017-09,0.050247898707935085,6.568989999999999,20
2017-10-01,2017-10,0.05166785145891757,6.6254,21
2017-11-01,2017-11,0.030188193198480623,6.6200149999999995,20
2017-12-01,2017-12,0.03139933755387183,6.593195,20
2018-01-01,2018-01,0.04589179821955859,6.423295238095237,21
2018-02-01,2018-02,0.04806544567963061,6.318315789473684,19
2018-03-01,2018-03,0.04392824975251305,6.317368181818182,22
2018-04-01,2018-04,0.03226972097276733,6.2966523809523816,21
2018-05-01,2018-05,0.03767431967799328,6.3700636363636365,22
2018-06-01,2018-06,0.04469788894876251,6.465123809523809,21
2018-07-01,2018-07,0.055864360263587313,6.716447619047619,21
2018-08-01,2018-08,0.06616418340788931,6.8452652173913044,23
2018-09-01,2018-09,0.03111005576709309,6.855084210526316,19
2018-10-01,2018-10,0.03793640300131706,6.9191045454545455,22
2018-11-01,2018-11,0.04547074426274044,6.936674999999999,20
2018-12-01,2018-12,0.06521094648996424,6.883711111111111,18
2019-01-01,2019-01,0.041713252425911354,6.786345,20
2019-02-01,2019-02,0.050826530137709054,6.736683333333334,18
2019-03-01,2019-03,0.027274077784976702,6.711942857142858,21
2019-04-01,2019-04,0.026398990676170034,6.716068181818182,22
2019-05-01,2019-05,0.0408006060151556,6.851859090909091,22
2019-06-01,2019-06,0.035281299841696506,6.897675,20
2019-07-01,2019-07,0.02260419220928914,6.8774727272727265,22
2019-08-01,2019-08,0.06792664936699906,7.062859090909091,22
2019-09-01,2019-09,0.042868718403375014,7.113725,20
2019-10-01,2019-10,0.02034546209988949,7.096081818181818,22
2019-11-01,2019-11,0.02662805342684971,7.019894736842106,19
2019-12-01,2019-12,0.03122339253828259,7.0136761904761915,21
2020-01-01,2020-01,0.04024933292749007,6.918352380952381,21
2020-02-01,2020-02,0.06601382001307401,6.996705263157895,19
2020-03-01,2020-03,0.06790759386348873,7.02045,22
2020-04-01,2020-04,0.0363897330874858,7.070827272727272,22
2020-05-01,2020-05,0.038196807806220937,7.10159,20
2020-06-01,2020-06,0.028027606783309733,7.08155909090909,22
2020-07-01,2020-07,0.03553972411099223,7.004113636363636,22
2020-08-01,2020-08,0.03227637881448534,6.927009523809524,21
2020-09-01,2020-09,0.044035721770225945,6.810595238095239,21
2020-10-01,2020-10,0.06929897850544174,6.72542380952381,21
2020-11-01,2020-11,0.0455396115502085,6.60285,18
2020-12-01,2020-12,0.018299061401078797,6.539295238095238,21
2021-01-01,2021-01,0.05097623260219427,6.467177777777778,18
2021-02-01,2021-02,0.04130803138240745,6.460057894736842,19
2021-03-01,2021-03,0.03325710831167396,6.510860869565217,23
2021-04-01,2021-04,0.021040701224628918,6.518640909090909,22
2021-05-01,2021-05,0.03253521870606144,6.432049999999999,20
2021-06-01,2021-06,0.035075337856195724,6.425031818181818,22
2021-07-01,2021-07,0.035189215236757006,6.4762571428571425,21
2021-08-01,2021-08,0.021681393598958904,6.476790909090909,22
2021-09-01,2021-09,0.026506602051662456,6.456300000000001,21
2021-10-01,2021-10,0.03267580912455137,6.41721,20
2021-11-01,2021-11,0.020139442735955145,6.38893,20
2021-12-01,2021-12,0.025317388706624557,6.369285714285714,21
2022-01-01,2022-01,0.03527703266438706,6.35557,20
2022-02-01,2022-02,0.019431915339677776,6.343552631578947,19
