h,coef,se,n_obs,F_stat,lo90,hi90,lo95,hi95
19,0.02665800173698415,0.06473841953647727,175,185.48372741409148,-0.07983669840052096,0.13315270187448927,-0.10022930055451129,0.1535453040284796
20,0.0171300772598959,0.0667188135414031,174,196.50802775725288,-0.0926223710157122,0.126882525535504,-0.11363879728125417,0.14789895180104598
21,0.03080887715481961,0.060303455476718254,173,195.1870901453272,-0.06839030710438192,0.13000806141402113,-0.08738589557954816,0.14900364988918738
22,-0.015543393027903987,0.07783760193252715,172,191.80901104653054,-0.14358624820691113,0.11249946215110317,-0.16810509281565716,0.13701830675984922
23,-0.032199293426562546,0.09925999266262847,171,192.27432601254984,-0.1954819813565864,0.1310833945034613,-0.22674887904531435,0.16235029219218924
24,-0.002966252068277974,0.07866903448933413,171,192.27432601254984,-0.1323768138032326,0.12644430966667666,-0.15715755966737285,0.15122505553081692
25,0.0285523766069215,0.06569956078614692,171,192.27432601254984,-0.07952340088629017,0.13662815410013318,-0.10021876253392645,0.15732351574776945
26,0.03891986259120747,0.06470691941817391,171,192.27432601254984,-0.06752301985168861,0.14536274503410357,-0.0879056994684134,0.16574542465082834
27,0.07065981936655774,0.057029962265841276,171,192.27432601254984,-0.023154468560751165,0.16447410729386663,-0.041118906674491154,0.18243854540760662
28,0.1213668799982224,0.0544093136367643,171,192.27432601254984,0.03186355906574513,0.2108702009306997,0.014724625270164368,0.22800913472628043
29,0.18024697097954753,0.05186535975801049,170,193.69977233550748,0.09492845417762028,0.2655654877814748,0.07859086585384698,0.2819030761052481
30,0.16333111780873305,0.07307041042267733,170,193.69977233550748,0.043130292663428854,0.2835319429540373,0.020113113380285486,0.3065491222371806
31,0.16076197068891585,0.07310340664078967,170,193.69977233550748,0.04050686676481684,0.28101707461301484,0.017479293672968105,0.3040446477048636
32,0.2080574515453195,0.05956995264481618,170,193.69977233550748,0.11006487944459686,0.3060500236460421,0.09130034436147977,0.3248145587291592
33,0.1914813661776278,0.058293624757643644,170,193.69977233550748,0.095588353451304,0.28737437890395157,0.07722586165264625,0.30573687070260935
34,0.1477271671881056,0.05306643191711566,170,193.69977233550748,0.06043288668445035,0.23502144769176087,0.043716960630558924,0.2517373737456523
35,0.11918940904642306,0.05438617132273361,170,193.69977233550748,0.029724157220526265,0.20865466087231985,0.012592513253865192,0.22578630483898093
36,0.06040433745687321,0.051256736122497384,169,207.42197744716722,-0.02391299346463499,0.1447216683783814,-0.04005886534322166,0.1608675402569681
37,0.08812228438768134,0.055531830364513694,168,207.58971372204252,-0.003227576561943682,0.17947214533730638,-0.020720103126765504,0.19696467190212819
38,0.05058457475920431,0.05577030736917374,167,210.63134839985793,-0.04115758086308648,0.1423267303814951,-0.05872522768437622,0.15989437720278485
39,0.05640743822262522,0.06788807562091109,166,211.59939416197352,-0.05526844617377353,0.16808332261902398,-0.07665318999436052,0.18946806643961098
40,0.019775397778921656,0.07075503406108744,166,211.59939416197352,-0.09661663325156716,0.1361674288094105,-0.11890446898080972,0.15845526453865302
41,-0.03472572485652071,0.07735841609792951,166,211.59939416197352,-0.16198031933761475,0.09252886962457335,-0.18634822040846255,0.11689677069542115
42,-0.018963216808893027,0.08940838196695682,166,211.59939416197352,-0.16604000514453698,0.12811357152675096,-0.19420364546412838,0.1562772118463423
43,-0.028498860319789595,0.08038587988250472,166,211.59939416197352,-0.16073363272650987,0.10373591208693067,-0.18605518488949885,0.12905746424991965
44,-0.042237339280264456,0.07786398910687845,166,211.59939416197352,-0.17032360136107952,0.08584892280055059,-0.1948507579297462,0.11037607936921728
45,-0.086498313843529,0.0745193250221629,165,234.6437166552384,-0.20908260350498697,0.03608597581792895,-0.23255619088696827,0.05955956319991028
