Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,L1_lwti,L2_lwti,L3_lwti,L1_lpri,L2_lpri,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled,gpr_global
1990-12-01,3.014080057391301,-0.65266656608235,0.0,4.149968,0.013576508,0.005701065,24.88571439470564,8.39,-0.0856027067576712,0.0025968249408858,0.01246486963581,0.1006556609029365,-0.0127971437648062,0.4958877563476562,4.112239837646484,3.184638932108805,3.293167973677838,3.235699546820326,-0.7326682560454053,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,156.04328393824133
1991-01-01,2.9193545811678483,-0.65266656608235,-0.1,4.1478963,0.0034809113,0.013576508,23.363000106811523,8.08,-0.1566190837034171,-0.012600999760818,0.0337836705857306,0.0,-0.0073665965881337,0.2029273360967636,3.9765121936798096,3.014080057391301,3.184638932108805,3.293167973677838,-0.65266656608235,-0.7326682560454053,,,,,,,,gdelt1_raw_pilot,102,332.0253739365202
1991-02-01,2.7229241959568555,-0.65266656608235,0.0,4.149921,-0.0040602684,0.0034809113,27.429091106761582,8.09,-0.1821045444740372,0.0175920602020394,-0.0020677944427678,0.0,-0.0032611910765636,0.2514294981956482,9.602984428405762,2.9193545811678483,3.014080057391301,3.184638932108805,-0.65266656608235,-0.65266656608235,,,,,,,,gdelt1_raw_pilot,102,137.87871202598103
1991-03-01,2.690085646126911,-0.65266656608235,0.0,4.1428766,-0.0051369667,-0.0040602684,21.59842109680176,7.85,-0.1875615083546979,-0.0530178872839073,0.1041889627146819,0.0,-0.0074159360650281,0.3037070035934448,8.503796577453613,2.7229241959568555,2.9193545811678483,3.014080057391301,-0.65266656608235,-0.65266656608235,,,,,,,,gdelt1_raw_pilot,102,73.74194784353048
1991-04-01,2.735213086047495,-0.65266656608235,0.0,4.138894,0.0042204857,-0.0051369667,17.918499851226805,8.11,-0.0234872326778603,-0.001347690565244,0.0697188648732058,0.0,-0.0057710392662917,0.2415063381195068,3.819074869155884,2.690085646126911,2.7229241959568555,2.9193545811678483,-0.65266656608235,-0.65266656608235,,,,,,,,gdelt1_raw_pilot,102,34.308642540720584
1991-05-01,2.7513470068555343,-0.65266656608235,0.0,4.1461363,-0.0233531,0.0042204857,17.37272735075517,8.04,0.0050963847648035,-0.0137451590383292,0.0082945217511571,0.0129807872721905,0.0026351435941132,0.2490359842777252,2.4060089588165283,2.735213086047495,2.690085646126911,2.7229241959568555,-0.65266656608235,-0.65266656608235,,,,,,,,gdelt1_raw_pilot,102,38.53660364429299
1991-06-01,2.6979503492674155,-0.5688248987322413,0.1,4.1506424,-0.0029945374,-0.0233531,16.932272737676445,8.07,0.0003554207626832,-0.0039981600237997,0.0120433088487832,0.0085237922906864,0.0093701506011978,0.2772677838802337,2.1132302284240723,2.7513470068555343,2.735213086047495,2.690085646126911,-0.65266656608235,-0.65266656608235,,,,,,,,gdelt1_raw_pilot,102,36.49405456925315
1991-07-01,2.755370857292282,-0.5688248987322413,-0.1,4.1522126,0.0032577515,-0.0029945374,17.13499994277954,8.28,-0.0545892067093212,0.0270028981378507,-0.0298372027493751,0.0037320438913193,0.0080704132490545,0.2818019390106201,2.1353442668914795,2.6979503492674155,2.7513470068555343,2.735213086047495,-0.5688248987322413,-0.65266656608235,,,,,,,,gdelt1_raw_pilot,102,62.627480403679726
1991-08-01,2.764872351047766,-0.5688248987322413,0.0,4.153505,0.016630173,0.0032577515,17.294090964577414,8.27,0.0654818899308979,0.0026415777673216,0.0798793518097902,-0.0015844171262751,0.0027966918655684,0.2810149490833282,2.6572444438934326,2.755370857292282,2.6979503492674155,2.7513470068555343,-0.5688248987322413,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,49.993267299389785
1991-09-01,2.769710496528017,-0.5688248987322413,0.0,4.153055,-0.0116353035,0.016630173,15.681363712657582,7.9,0.019187404290816,-0.0314390533993833,0.0168544575849196,0.0047828726944032,-1.1339677612909329e-05,0.2112361341714859,2.526709079742432,2.764872351047766,2.755370857292282,2.6979503492674155,-0.5688248987322413,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,61.63728955187954
