,n_events_total,n_events_kw,n_events_with_url,pct_events_with_url,gpr_hybrid_share,gpr_url_share,gpr_nourl_cameo_share,gpr_kw_share,d2gpr_kw
1993-08-01,202.0,19.0,0.0,0.0,0.09405940594059406,,0.09405940594059406,0.09405940594059406,-0.08544602014017447
1993-09-01,135.0,15.0,0.0,0.0,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.02573202525732024
1993-10-01,157.0,5.0,0.0,0.0,0.03184713375796178,,0.03184713375796178,0.03184713375796178,-0.09631568252366637
1993-11-01,211.0,14.0,0.0,0.0,0.06635071090047394,,0.06635071090047394,0.06635071090047394,0.11376755449566148
1993-12-01,109.0,10.0,0.0,0.0,0.09174311926605505,,0.09174311926605505,0.09174311926605505,-0.009111168776931043
1994-01-01,394.0,3.0,0.0,0.0,0.007614213197969543,,0.007614213197969543,0.007614213197969543,-0.10952131443366662
1994-02-01,208.0,7.0,0.0,0.0,0.03365384615384615,,0.03365384615384615,0.03365384615384615,0.11016853902396212
1994-03-01,495.0,29.0,0.0,0.0,0.05858585858585859,,0.05858585858585859,0.05858585858585859,-0.0011076205238641727
1994-04-01,199.0,13.0,0.0,0.0,0.06532663316582915,,0.06532663316582915,0.06532663316582915,-0.018191237852041874
1994-05-01,185.0,3.0,0.0,0.0,0.016216216216216217,,0.016216216216216217,0.016216216216216217,-0.0558511915295835
1994-06-01,204.0,15.0,0.0,0.0,0.07352941176470588,,0.07352941176470588,0.07352941176470588,0.1064236124981026
1994-07-01,173.0,6.0,0.0,0.0,0.03468208092485549,,0.03468208092485549,0.03468208092485549,-0.09616052638834006
1994-08-01,187.0,2.0,0.0,0.0,0.0106951871657754,,0.0106951871657754,0.0106951871657754,0.014860437080770311
1994-09-01,268.0,11.0,0.0,0.0,0.041044776119402986,,0.041044776119402986,0.041044776119402986,0.054336482712707676
1994-10-01,313.0,7.0,0.0,0.0,0.022364217252396165,,0.022364217252396165,0.022364217252396165,-0.049030147820634404
1994-11-01,209.0,4.0,0.0,0.0,0.019138755980861243,,0.019138755980861243,0.019138755980861243,0.015455097595471898
1994-12-01,192.0,15.0,0.0,0.0,0.078125,,0.078125,0.078125,0.06221170529067368
1995-01-01,298.0,21.0,0.0,0.0,0.07046979865771812,,0.07046979865771812,0.07046979865771812,-0.06664144536142064
1995-02-01,472.0,16.0,0.0,0.0,0.03389830508474576,,0.03389830508474576,0.03389830508474576,-0.028916292230690477
1995-03-01,302.0,3.0,0.0,0.0,0.009933774834437087,,0.009933774834437087,0.009933774834437087,0.01260696332266368
1995-04-01,212.0,5.0,0.0,0.0,0.02358490566037736,,0.02358490566037736,0.02358490566037736,0.037615661076248946
1995-05-01,327.0,19.0,0.0,0.0,0.0581039755351682,,0.0581039755351682,0.0581039755351682,0.020867939048850564
1995-06-01,728.0,32.0,0.0,0.0,0.04395604395604396,,0.04395604395604396,0.04395604395604396,-0.04866700145391508
1995-07-01,893.0,27.0,0.0,0.0,0.030235162374020158,,0.030235162374020158,0.030235162374020158,0.00042704999710043573
1995-08-01,1006.0,27.0,0.0,0.0,0.0268389662027833,,0.0268389662027833,0.0268389662027833,0.01032468541078694
1995-09-01,576.0,15.0,0.0,0.0,0.026041666666666668,,0.026041666666666668,0.026041666666666668,0.002598896635120227
1995-10-01,331.0,9.0,0.0,0.0,0.027190332326283987,,0.027190332326283987,0.027190332326283987,0.0019459651957339508
