,d2gpr_kw
2007-12-01,0.01280756495912655
2008-01-01,-0.03172287146129462
2008-02-01,0.03773657394893516
2008-03-01,0.0055247686509768
2008-04-01,-0.04715976451258376
2008-05-01,0.019806034054549587
2008-06-01,-0.0014040475434431432
2008-07-01,-0.020459189761202534
2008-08-01,0.037453412677650975
2008-09-01,0.008927173251252807
2008-10-01,-0.0340358121117483
2008-11-01,0.011000279951079411
2008-12-01,-0.01217158173462718
2009-01-01,0.011381413359545962
2009-02-01,-0.010998539339100923
2009-03-01,0.025435990806481908
2009-04-01,-0.023186085240733914
2009-05-01,0.004722436525086499
2009-06-01,0.018623827379157937
2009-07-01,-0.03345771227223657
2009-08-01,0.03372170440080657
2009-09-01,-0.02078320935915752
2009-10-01,-0.008023180954230331
2009-11-01,0.041635470555230286
2009-12-01,-0.016220104021140644
2010-01-01,-0.02431307510649474
2010-02-01,0.011896734083502149
2010-03-01,-0.0019943693146228098
2010-04-01,0.011636588259181478
2010-05-01,-0.015828411927151724
2010-06-01,0.029501501559604876
2010-07-01,-0.02737364996790341
2010-08-01,-0.005492671369388399
2010-09-01,0.020703790336886102
2010-10-01,-0.015092811508507865
2010-11-01,0.023809958526819164
2010-12-01,-0.03341021109610554
2011-01-01,0.014850372326283223
2011-02-01,-0.005554536105552468
2011-03-01,0.00021604469412916938
2011-04-01,0.03272614617553971
2011-05-01,-0.042934364253750835
2011-06-01,0.011932044621187174
2011-07-01,0.00819561173467595
2011-08-01,0.004508844140849795
2011-09-01,-0.004473194894944049
2011-10-01,-0.009665671064454692
2011-11-01,0.0009934036411740482
2011-12-01,0.021901384669487683
2012-01-01,-0.04650195018827709
2012-02-01,0.013227726581134858
2012-03-01,0.03633235330400568
2012-04-01,-0.022640919951391558
2012-05-01,-0.006364733899946913
2012-06-01,0.023895026505348707
2012-07-01,-0.02500059890418259
2012-08-01,-4.311572956300358e-07
2012-09-01,0.022558090699235603
2012-10-01,-0.018325307209074743
2012-11-01,0.02164572914908689
2012-12-01,-0.024415263658169678
2013-01-01,0.021188208635082986
2013-02-01,-0.02759449767608893
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
