,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled
2016-01-01,301.0,39.0,0.12956810631229235,0.029900332225913623,0.06945881669480601,0.6507364044731867,1.2026807942480398,gdelt1_raw_pilot,102
2016-02-01,478.0,50.0,0.10460251046025104,0.0502092050209205,-0.12447905735559048,0.21845661513934592,-2.155357356942474,gdelt1_raw_pilot,102
2016-03-01,531.0,37.0,0.0696798493408663,0.07156308851224105,-0.00995706526734344,-0.38622995757990286,-0.17240678338540794,gdelt1_raw_pilot,102
2016-04-01,744.0,146.0,0.19623655913978494,0.033602150537634407,0.1614793709183034,1.8051019927924092,2.796018523091561,gdelt1_raw_pilot,102
2016-05-01,169.0,6.0,0.03550295857988166,0.011834319526627219,-0.2872903103588219,-0.9780035016924556,-4.974437444857177,gdelt1_raw_pilot,102
2016-06-01,429.0,36.0,0.08391608391608392,0.06060606060606061,0.20914672589610556,-0.13972927241484073,3.62137972376248,gdelt1_raw_pilot,102
2016-07-01,302.0,7.0,0.023178807947019868,0.033112582781456956,-0.1091504013052663,-1.1913964153190861,-1.8899413721818603,gdelt1_raw_pilot,102
2016-08-01,381.0,18.0,0.047244094488188976,0.06561679790026247,0.08480256251023316,-0.7747054996314278,1.4683580585919038,gdelt1_raw_pilot,102
2016-09-01,465.0,65.0,0.13978494623655913,0.043010752688172046,0.06847556520720105,0.8276411912162799,1.1856557751600494,gdelt1_raw_pilot,102
2016-10-01,207.0,28.0,0.13526570048309178,0.0821256038647343,-0.0970600975018375,0.7493903610003855,-1.6805975210636022,gdelt1_raw_pilot,102
2016-11-01,491.0,15.0,0.03054989816700611,0.059063136456211814,-0.10019655656261833,-1.0637658413748294,-1.7349053721593206,gdelt1_raw_pilot,102
2016-12-01,379.0,38.0,0.10026385224274406,0.0870712401055409,0.17442975639182362,0.14333266170475953,3.020254705454804,gdelt1_raw_pilot,102
2017-01-01,235.0,7.0,0.029787234042553193,0.09361702127659574,-0.14019057227592885,-1.0769713858771461,-2.427402550661495,gdelt1_raw_pilot,102
2017-02-01,520.0,45.0,0.08653846153846154,0.05961538461538462,0.1272278456960992,-0.09432275166230336,2.202952681796748,gdelt1_raw_pilot,102
2017-03-01,423.0,29.0,0.06855791962174941,0.1016548463356974,-0.07473176941262047,-0.40565619300810984,-1.2939820755606493,gdelt1_raw_pilot,102
2017-04-01,396.0,22.0,0.05555555555555555,0.04292929292929293,0.004978177850518267,-0.6307923857385794,0.0861972486153369,gdelt1_raw_pilot,102
2017-05-01,591.0,59.0,0.09983079526226735,0.10152284263959391,0.05727760377290565,0.13583427146406687,0.9917628499331158,gdelt1_raw_pilot,102
2017-06-01,595.0,29.0,0.04873949579831933,0.047058823529411764,-0.09536653917065982,-0.748812596167646,-1.6512735248343593,gdelt1_raw_pilot,102
2017-07-01,532.0,53.0,0.09962406015037593,0.07330827067669173,0.10197586381600462,0.13225464888481964,1.7657141126841784,gdelt1_raw_pilot,102
2017-08-01,360.0,47.0,0.13055555555555556,0.08333333333333333,-0.019953068946876977,0.6678341077839924,-0.3454877861532928,gdelt1_raw_pilot,102
2017-09-01,376.0,38.0,0.10106382978723404,0.06648936170212766,-0.06042322117350114,0.15718428881806368,-1.0462292778651014,gdelt1_raw_pilot,102
2017-10-01,275.0,12.0,0.04363636363636364,0.11636363636363636,-0.027935740382548868,-0.8371734311738163,-0.48370790102595107,gdelt1_raw_pilot,102
2017-11-01,505.0,14.0,0.027722772277227723,0.04356435643564356,0.041513874791734476,-1.1127175824546933,0.7188135687110029,gdelt1_raw_pilot,102
2017-12-01,358.0,23.0,0.06424581005586592,0.04189944134078212,0.05243662913777412,-0.48032045601115536,0.907941277724415,gdelt1_raw_pilot,102
