tau,h,coef,se
τ = 0.10,40,0.33215589515861477,0.14726356811910477
τ = 0.10,41,0.18070543735512354,0.1691551203169256
τ = 0.10,42,0.21140318098986985,0.1629075960256699
τ = 0.10,43,0.19399617558530596,0.14354792182742887
τ = 0.10,44,0.3578300792591276,0.14218619435607688
τ = 0.10,45,0.20123896978763778,0.15768668804719055
τ = 0.10,46,0.031185852788712023,0.22082633748069225
τ = 0.10,47,-0.028134166813739595,0.18401651338883424
τ = 0.10,48,0.1787103113582252,0.20690000916965035
τ = 0.25,0,0.0036729342684787996,0.041701145383834334
τ = 0.25,1,0.028765028172838887,0.06369544607043211
τ = 0.25,2,-0.034470885662634336,0.05095185343624951
τ = 0.25,3,-0.08562219825257118,0.09002523093899345
τ = 0.25,4,-0.11316165931430489,0.11200577318218466
τ = 0.25,5,-0.15051310222062564,0.12095790655940411
τ = 0.25,6,-0.1113721968648615,0.12336022087015107
τ = 0.25,7,-0.09599859888270093,0.12773957511555167
τ = 0.25,8,-0.0764716502006428,0.10316695757716332
τ = 0.25,9,-0.09594424962364417,0.11460359774630928
τ = 0.25,10,-0.06838913328246954,0.1497745339444261
τ = 0.25,11,0.030609003231437032,0.1360748781981969
τ = 0.25,12,-0.046804163778599056,0.14131317356925105
τ = 0.25,13,-0.10132714143750304,0.12375524500445306
τ = 0.25,14,-0.054666845370553524,0.14431902734249077
τ = 0.25,15,-0.021124904243923215,0.13294045747713465
τ = 0.25,16,-0.1106330179581348,0.16789267548127465
τ = 0.25,17,-0.06744571418798913,0.13917191538621976
τ = 0.25,18,-0.051184966329789416,0.10984650913590933
τ = 0.25,19,0.05395680775510977,0.13360860832500315
τ = 0.25,20,-0.024491697296349525,0.14681011057145024
τ = 0.25,21,0.0004959813387069966,0.13237967609759985
τ = 0.25,22,-0.011687160522382263,0.13801536597255223
τ = 0.25,23,0.05434207549258372,0.1475370520002255
τ = 0.25,24,0.04137236002380573,0.1693569160022659
τ = 0.25,25,0.06411392391156555,0.12679024429102356
τ = 0.25,26,0.08410706054857378,0.1174071987831947
τ = 0.25,27,0.073417230195323,0.12533834681188544
τ = 0.25,28,0.12664056057686177,0.13269122151837684
τ = 0.25,29,0.14251163827491614,0.13564751133483924
τ = 0.25,30,0.19542919414667675,0.18426388484877226
τ = 0.25,31,0.20989169712810773,0.1313579994792385
τ = 0.25,32,0.3441502289709576,0.14571053108583476
τ = 0.25,33,0.3602459119113819,0.15514295015286805
τ = 0.25,34,0.3595130128272616,0.1392605172778603
τ = 0.25,35,0.38556371916671106,0.13245788841603304
τ = 0.25,36,0.25977152645425694,0.10906289166867238
τ = 0.25,37,0.1791881777795231,0.12815910034561095
τ = 0.25,38,0.2016196629366046,0.12986171438607005
τ = 0.25,39,0.1485428667932104,0.1483865871869545
τ = 0.25,40,-0.009372778366335452,0.13150878113555642
τ = 0.25,41,0.10816868365630536,0.12584769623388548
τ = 0.25,42,0.13375357703873367,0.11892917152754462
τ = 0.25,43,0.27945389804202575,0.12972075152426202
τ = 0.25,44,0.2427646635055436,0.14322225884136636
τ = 0.25,45,0.10263406775664317,0.12111251547894514
τ = 0.25,46,0.13566624775436067,0.11545435643911722
τ = 0.25,47,0.1029539982274288,0.12939199043622163
τ = 0.25,48,-0.03112525849952811,0.12633077898382833
τ = 0.50,0,-0.028559116765433944,0.03137428023002506
τ = 0.50,1,-0.10396707321740495,0.04144352336918468
τ = 0.50,2,-0.05686612207432598,0.055329157004644955
τ = 0.50,3,-0.12417167942760238,0.06331463856991254
τ = 0.50,4,-0.021813526581187216,0.06971950535556948
τ = 0.50,5,0.010586072533315989,0.077865818267383
τ = 0.50,6,-0.0729418875852949,0.08120734749862174
τ = 0.50,7,0.002242301773298677,0.0800253121833488
τ = 0.50,8,0.007572458432304149,0.08207842343704748
τ = 0.50,9,0.009392481210808556,0.08739464551697841
τ = 0.50,10,-0.021476484846436557,0.08766164092587485
τ = 0.50,11,0.07003678004965518,0.09573334113171918
τ = 0.50,12,0.06546310039919324,0.10080671213674884
τ = 0.50,13,0.11232501242301837,0.10313176418610179
τ = 0.50,14,0.05690790561277644,0.10331657214570195
τ = 0.50,15,0.04066918282956476,0.09761158961198543
