h,coef_low,se_low,coef_int,se_int,coef_high_total,se_high_total
22,0.10733893403199601,0.14233883779339168,-0.10610416142841846,0.32489076835336805,0.001234772603577558,0.35470319438315656
23,0.29599656043679673,0.1859237318941799,-0.5732907345101451,0.4427714239625267,-0.2772941740733484,0.48022303980469583
24,0.24129650781694445,0.1346858009075991,-0.2907543531002369,0.3836950896771581,-0.049457845283292445,0.40664749699030955
25,0.23414960117890202,0.15440842439856037,-0.12835606871445515,0.48622184607083907,0.10579353246444687,0.5101506102336649
26,0.19580471668868157,0.10644397208301866,-0.11006110692003165,0.3555637361367913,0.08574360976864992,0.3711548055035314
27,0.19235255025658704,0.08502845728534236,0.00866444089104758,0.2926578791024007,0.20101699114763463,0.3047596967268485
28,0.29177054945975583,0.12125914546529752,-0.23421895982481367,0.3393394710747899,0.05755158963494217,0.36035407169656397
29,0.32119311876465734,0.1454746322142394,-0.2940341215527796,0.35815902567073454,0.027158997211877756,0.38657567989628905
30,0.2876037200118066,0.17804067379881472,-0.28633068534380685,0.3996268747837251,0.0012730346679997728,0.43749299488808163
31,0.3122502825050276,0.1698785135711994,-0.3722651022720713,0.38598620313687054,-0.0600148197670437,0.42171561316268297
32,0.3872882220172595,0.14738223417936497,-0.40489847307493415,0.36113283945011665,-0.017610251057674664,0.3900492926297969
33,0.34727598675193594,0.11333416121331173,-0.22413580456269605,0.3042993579018364,0.12314018218923989,0.3247194655658863
34,0.20836012549003688,0.11803712981671052,0.16076753525547036,0.3070382260815214,0.36912766074550724,0.32894564336779786
35,0.14536810738893832,0.12573339581855864,0.23362010112468812,0.3377381090511232,0.37898820851362647,0.36038301448527615
36,0.11242552077705541,0.1477318074786922,0.09037085516211955,0.3298796002397889,0.20279637593917496,0.3614488035604549
37,0.12249994325634947,0.14415348579586446,0.09593031464079368,0.32114889485445147,0.21843025789714315,0.35201823835326207
38,0.11284934176124613,0.19413812834848573,0.0460750784523217,0.396329602952111,0.15892442021356784,0.44132387999612155
39,0.15008281223940537,0.20958237786242936,-0.01657590117053173,0.4164584014339208,0.13350691106887363,0.46622137792615953
40,0.2902754171508157,0.27942848555125743,-0.3802571087161541,0.5308958731560035,-0.08998169156533842,0.5999422527806694
41,0.11557138372032144,0.18884475043062782,-0.14619072230150443,0.40965593683329143,-0.030619338581182987,0.4510879363804443
42,0.05481836960147162,0.1594457545846426,0.035774542370124444,0.3613400436771814,0.09059291197159607,0.3949551567199667
43,0.0521120044135368,0.16410830457772624,0.03764579880454965,0.3751630468263979,0.08975780321808645,0.409486077095964
44,0.11087914141617648,0.20667019996907673,-0.05632052115964504,0.41099837773055325,0.054558620256531444,0.4600350400267405
45,-0.03152201611738028,0.22055668913602966,0.18887657491578708,0.48054136267614006,0.1573545587984068,0.5287393066202746
46,0.0693658181845281,0.1818967737052436,-0.0451929302207531,0.3405182440509353,0.024172887963774994,0.3860558389869384
47,0.30310588142926276,0.2586490864984544,-0.49863711517574255,0.47078505155892353,-0.1955312337464798,0.5371572532488259
48,0.4114785524435771,0.3920584706410914,-0.9747551116128286,0.8572109159731346,-0.5632765591692515,0.9426135999787675
