outcome,h,coef,se,sig
brent,17,-0.03165404469782748,0.011400896268343227,1
brent,18,-0.012725687988460195,0.015031421348363341,0
brent,19,0.011890068094597849,0.021584574094594737,0
brent,20,0.019841910512956192,0.01198858116805146,1
brent,21,0.002082561628893521,0.0120281185939559,0
brent,22,0.0005583483472477227,0.010208242035010138,0
brent,23,-0.012926171968644028,0.013188051552241377,0
brent,24,-0.0033848031657897158,0.026487240628029922,0
brent,25,0.007075567134483993,0.016486021101452093,0
brent,26,0.013028499824470737,0.02347256025100532,0
brent,27,-0.009171892468789843,0.01763019528195603,0
brent,28,0.015849043154807264,0.014545930154700853,0
brent,29,-0.008284797609078761,0.010160640989648164,0
brent,30,0.008499048504464281,0.018826498758021847,0
brent,31,-0.014972112255153807,0.015407101135901406,0
brent,32,-0.02199129846928822,0.01855338347696144,0
brent,33,0.010602365099980027,0.0067498933219173355,0
brent,34,0.01689470906841942,0.009801285500329143,1
brent,35,0.01244692958428672,0.02022457935154139,0
brent,36,0.013967608418644072,0.010014439793415469,0
vix,0,-0.015642215041574137,0.024195170436961184,0
vix,1,-0.02013855137797339,0.024363925303097573,0
vix,2,-0.02107840154242263,0.023324553121706577,0
vix,3,0.006655565529937325,0.02161529258432967,0
vix,4,0.01983897568085165,0.024185534144188378,0
vix,5,-0.021222850070146678,0.021867611833690303,0
vix,6,0.009341956169725052,0.021616745264442246,0
vix,7,0.0026439202387048884,0.019851304422442657,0
vix,8,0.02362368289333206,0.021275268193509052,0
vix,9,0.0016299691862849096,0.019146156173769975,0
vix,10,-0.05509360948036629,0.026182306311675188,1
vix,11,-0.01497117496955553,0.023450560905597856,0
vix,12,-0.002839225937567195,0.019049631157099747,0
vix,13,0.007261385148155977,0.024470049935477117,0
vix,14,0.023508702492966493,0.017588745549521508,0
vix,15,-0.03516314644124157,0.021431394366511897,0
vix,16,0.015047675926664523,0.021256405633169488,0
vix,17,0.06268644383946945,0.020514692789345652,1
vix,18,0.0054823715137428675,0.016719836309421202,0
vix,19,0.024161013777801388,0.018746535313511885,0
vix,20,-0.0009610731350453254,0.020969398947146063,0
vix,21,-0.017070774816614488,0.021287429323415923,0
vix,22,-0.018667122458208785,0.020765294744392555,0
vix,23,-0.003075295198855513,0.02486021282271115,0
vix,24,0.021402240299779406,0.030037358682454243,0
vix,25,-0.020699761010433578,0.025402098125351227,0
vix,26,-0.00658245432443505,0.015421673879363098,0
vix,27,-0.012202324817390586,0.015985138115112166,0
vix,28,0.0032850974768129024,0.040154211702263076,0
vix,29,-0.004943297125579187,0.02262583693068237,0
vix,30,-0.027053388935633582,0.02034027043665312,0
vix,31,0.006235240102820363,0.023367511979666352,0
vix,32,-0.0020974130120933656,0.019715716839991272,0
vix,33,0.014296567215883054,0.018976269018223496,0
vix,34,0.012642673413643779,0.020290849174131334,0
vix,35,-0.009068861228515919,0.02365213158594594,0
vix,36,-0.017953297187842363,0.014456807660747325,0
indpro,0,0.002938923522720988,0.0017611101175716217,1
indpro,1,-0.0010318938144878388,0.0008614143303968057,0
indpro,2,4.094871088160864e-06,0.001045274751724125,0
indpro,3,0.0015038923746086264,0.0009878624512053506,0
indpro,4,-0.0013569347243544093,0.0009316041681038213,0
indpro,5,0.00010781025660286791,0.0010610415386795857,0
indpro,6,-0.0005300296827310627,0.0007835705324103885,0
indpro,7,-0.0018892376387991353,0.0013428216569595188,0
indpro,8,0.0015051206920624204,0.0011741653220967354,0
indpro,9,0.0012798729401739112,0.0013450490353227966,0
indpro,10,-0.0012276134201043302,0.0013168477132639244,0
indpro,11,-0.00020966348502007766,0.0012511777870064856,0
indpro,12,0.0009466392929172345,0.0011834272001107666,0
indpro,13,9.877175431117576e-05,0.000760778278058195,0
indpro,14,0.00016164459202041358,0.001315404221474146,0
indpro,15,0.00010008061239731281,0.0008682065905658375,0
indpro,16,0.0005723707967138099,0.0009238488445435131,0
indpro,17,-0.00045942940596275974,0.0007145380955353028,0
indpro,18,-0.002000407078963123,0.002299832811155194,0
indpro,19,-4.812158006901746e-05,0.0005893851141096194,0
indpro,20,-3.780426334364309e-05,0.000702026451031928,0
indpro,21,0.0008588866389800065,0.0009415163637827979,0
indpro,22,0.0017156808378221795,0.0018765683061223361,0
indpro,23,0.00014125434627626797,0.0007245390629209299,0
indpro,24,-0.004052180031158293,0.003557705898303535,0
indpro,25,-0.0011419182487238868,0.0014028978379522312,0
indpro,26,0.004734734912675996,0.004242325453472877,0
indpro,27,6.733898713671243e-05,0.0010057985099654223,0
indpro,28,-0.0009177863807158643,0.0008894528483673717,0
indpro,29,0.0033242387251548417,0.0015845747927149536,1
indpro,30,-0.0027905686684073948,0.0014233254188343058,1
indpro,31,0.0011792334060622396,0.0010366236344369465,0
indpro,32,-0.0011696639990918807,0.0019617003296620817,0
indpro,33,-0.0013163995425899365,0.0012712546518218266,0
indpro,34,-0.0023088564098829355,0.0020775578244180597,0
indpro,35,0.0022490037328615417,0.0018817466871665844,0
indpro,36,0.0030862750301655583,0.003300688127438137,0
gold,0,-0.0040141622772155985,0.004561895968422937,0
